Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Antiguitat,Nombre_motos
2018,1,Ciutat Vella,1,el Raval,Menys d'un any d'antiguitat,154
2018,1,Ciutat Vella,2,el Barri Gòtic,Menys d'un any d'antiguitat,96
2018,1,Ciutat Vella,3,la Barceloneta,Menys d'un any d'antiguitat,115
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Menys d'un any d'antiguitat,166
2018,2,Eixample,5,el Fort Pienc,Menys d'un any d'antiguitat,251
2018,2,Eixample,6,la Sagrada Família,Menys d'un any d'antiguitat,417
2018,2,Eixample,7,la Dreta de l'Eixample,Menys d'un any d'antiguitat,505
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Menys d'un any d'antiguitat,476
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,Menys d'un any d'antiguitat,532
2018,2,Eixample,10,Sant Antoni,Menys d'un any d'antiguitat,242
2018,3,Sants-Montjuïc,11,el Poble Sec,Menys d'un any d'antiguitat,214
2018,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Menys d'un any d'antiguitat,33
2018,3,Sants-Montjuïc,13,la Marina de Port,Menys d'un any d'antiguitat,250
2018,3,Sants-Montjuïc,14,la Font de la Guatlla,Menys d'un any d'antiguitat,61
2018,3,Sants-Montjuïc,15,Hostafrancs,Menys d'un any d'antiguitat,89
2018,3,Sants-Montjuïc,16,la Bordeta,Menys d'un any d'antiguitat,114
2018,3,Sants-Montjuïc,17,Sants - Badal,Menys d'un any d'antiguitat,161
2018,3,Sants-Montjuïc,18,Sants,Menys d'un any d'antiguitat,281
2018,4,Les Corts,19,les Corts,Menys d'un any d'antiguitat,406
2018,4,Les Corts,20,la Maternitat i Sant Ramon,Menys d'un any d'antiguitat,227
2018,4,Les Corts,21,Pedralbes,Menys d'un any d'antiguitat,141
2018,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Menys d'un any d'antiguitat,50
2018,5,Sarrià-Sant Gervasi,23,Sarrià,Menys d'un any d'antiguitat,240
2018,5,Sarrià-Sant Gervasi,24,les Tres Torres,Menys d'un any d'antiguitat,221
2018,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Menys d'un any d'antiguitat,673
2018,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Menys d'un any d'antiguitat,941
2018,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Menys d'un any d'antiguitat,378
2018,6,Gràcia,28,Vallcarca i els Penitents,Menys d'un any d'antiguitat,149
2018,6,Gràcia,29,el Coll,Menys d'un any d'antiguitat,74
2018,6,Gràcia,30,la Salut,Menys d'un any d'antiguitat,105
2018,6,Gràcia,31,la Vila de Gràcia,Menys d'un any d'antiguitat,355
2018,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Menys d'un any d'antiguitat,298
2018,7,Horta-Guinardó,33,el Baix Guinardó,Menys d'un any d'antiguitat,202
2018,7,Horta-Guinardó,34,Can Baró,Menys d'un any d'antiguitat,82
2018,7,Horta-Guinardó,35,el Guinardó,Menys d'un any d'antiguitat,274
2018,7,Horta-Guinardó,36,la Font d'en Fargues,Menys d'un any d'antiguitat,100
2018,7,Horta-Guinardó,37,el Carmel,Menys d'un any d'antiguitat,259
2018,7,Horta-Guinardó,38,la Teixonera,Menys d'un any d'antiguitat,107
2018,7,Horta-Guinardó,39,Sant Genís dels Agudells,Menys d'un any d'antiguitat,39
2018,7,Horta-Guinardó,40,Montbau,Menys d'un any d'antiguitat,34
2018,7,Horta-Guinardó,41,la Vall d'Hebron,Menys d'un any d'antiguitat,31
2018,7,Horta-Guinardó,42,la Clota,Menys d'un any d'antiguitat,7
2018,7,Horta-Guinardó,43,Horta,Menys d'un any d'antiguitat,217
2018,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Menys d'un any d'antiguitat,153
2018,8,Nou Barris,45,Porta,Menys d'un any d'antiguitat,144
2018,8,Nou Barris,46,el Turó de la Peira,Menys d'un any d'antiguitat,90
2018,8,Nou Barris,47,Can Peguera,Menys d'un any d'antiguitat,14
2018,8,Nou Barris,48,la Guineueta,Menys d'un any d'antiguitat,96
2018,8,Nou Barris,49,Canyelles,Menys d'un any d'antiguitat,45
2018,8,Nou Barris,50,les Roquetes,Menys d'un any d'antiguitat,83
2018,8,Nou Barris,51,Verdun,Menys d'un any d'antiguitat,51
2018,8,Nou Barris,52,la Prosperitat,Menys d'un any d'antiguitat,160
2018,8,Nou Barris,53,la Trinitat Nova,Menys d'un any d'antiguitat,31
2018,8,Nou Barris,54,Torre Baró,Menys d'un any d'antiguitat,13
2018,8,Nou Barris,55,Ciutat Meridiana,Menys d'un any d'antiguitat,27
2018,8,Nou Barris,56,Vallbona,Menys d'un any d'antiguitat,6
2018,9,Sant Andreu,57,la Trinitat Vella,Menys d'un any d'antiguitat,46
2018,9,Sant Andreu,58,Baró de Viver,Menys d'un any d'antiguitat,8
2018,9,Sant Andreu,59,el Bon Pastor,Menys d'un any d'antiguitat,91
2018,9,Sant Andreu,60,Sant Andreu,Menys d'un any d'antiguitat,357
2018,9,Sant Andreu,61,la Sagrera,Menys d'un any d'antiguitat,178
2018,9,Sant Andreu,62,el Congrés i els Indians,Menys d'un any d'antiguitat,82
2018,9,Sant Andreu,63,Navas,Menys d'un any d'antiguitat,143
2018,10,Sant Martí,64,el Camp de l'Arpa del Clot,Menys d'un any d'antiguitat,258
2018,10,Sant Martí,65,el Clot,Menys d'un any d'antiguitat,173
2018,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Menys d'un any d'antiguitat,106
2018,10,Sant Martí,67,la Vila Olímpica del Poblenou,Menys d'un any d'antiguitat,78
2018,10,Sant Martí,68,el Poblenou,Menys d'un any d'antiguitat,262
2018,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Menys d'un any d'antiguitat,92
2018,10,Sant Martí,70,el Besòs i el Maresme,Menys d'un any d'antiguitat,81
2018,10,Sant Martí,71,Provençals del Poblenou,Menys d'un any d'antiguitat,156
2018,10,Sant Martí,72,Sant Martí de Provençals,Menys d'un any d'antiguitat,139
2018,10,Sant Martí,73,la Verneda i la Pau,Menys d'un any d'antiguitat,131
2018,99,No consta,99,No consta,Menys d'un any d'antiguitat,2
2018,1,Ciutat Vella,1,el Raval,1 any,174
2018,1,Ciutat Vella,2,el Barri Gòtic,1 any,122
2018,1,Ciutat Vella,3,la Barceloneta,1 any,95
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1 any,183
2018,2,Eixample,5,el Fort Pienc,1 any,218
2018,2,Eixample,6,la Sagrada Família,1 any,406
2018,2,Eixample,7,la Dreta de l'Eixample,1 any,450
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,1 any,442
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,1 any,438
2018,2,Eixample,10,Sant Antoni,1 any,258
2018,3,Sants-Montjuïc,11,el Poble Sec,1 any,192
2018,3,Sants-Montjuïc,12,la Marina del Prat Vermell,1 any,20
2018,3,Sants-Montjuïc,13,la Marina de Port,1 any,205
2018,3,Sants-Montjuïc,14,la Font de la Guatlla,1 any,91
2018,3,Sants-Montjuïc,15,Hostafrancs,1 any,98
2018,3,Sants-Montjuïc,16,la Bordeta,1 any,120
2018,3,Sants-Montjuïc,17,Sants - Badal,1 any,148
2018,3,Sants-Montjuïc,18,Sants,1 any,280
2018,4,Les Corts,19,les Corts,1 any,426
2018,4,Les Corts,20,la Maternitat i Sant Ramon,1 any,183
2018,4,Les Corts,21,Pedralbes,1 any,166
2018,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",1 any,44
2018,5,Sarrià-Sant Gervasi,23,Sarrià,1 any,270
2018,5,Sarrià-Sant Gervasi,24,les Tres Torres,1 any,222
2018,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,1 any,391
2018,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,1 any,701
2018,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,1 any,356
2018,6,Gràcia,28,Vallcarca i els Penitents,1 any,168
2018,6,Gràcia,29,el Coll,1 any,62
2018,6,Gràcia,30,la Salut,1 any,116
2018,6,Gràcia,31,la Vila de Gràcia,1 any,380
2018,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,1 any,286
2018,7,Horta-Guinardó,33,el Baix Guinardó,1 any,200
2018,7,Horta-Guinardó,34,Can Baró,1 any,116
