Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Antiguitat,Nombre_motos
2016,1,Ciutat Vella,1,el Raval,Menys d'un any d'antiguitat,208
2016,1,Ciutat Vella,2,el Barri Gòtic,Menys d'un any d'antiguitat,116
2016,1,Ciutat Vella,3,la Barceloneta,Menys d'un any d'antiguitat,121
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Menys d'un any d'antiguitat,159
2016,2,Eixample,5,el Fort Pienc,Menys d'un any d'antiguitat,266
2016,2,Eixample,6,la Sagrada Família,Menys d'un any d'antiguitat,413
2016,2,Eixample,7,la Dreta de l'Eixample,Menys d'un any d'antiguitat,508
2016,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Menys d'un any d'antiguitat,489
2016,2,Eixample,9,la Nova Esquerra de l'Eixample,Menys d'un any d'antiguitat,561
2016,2,Eixample,10,Sant Antoni,Menys d'un any d'antiguitat,303
2016,3,Sants-Montjuïc,11,el Poble Sec,Menys d'un any d'antiguitat,218
2016,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Menys d'un any d'antiguitat,23
2016,3,Sants-Montjuïc,13,la Marina de Port,Menys d'un any d'antiguitat,269
2016,3,Sants-Montjuïc,14,la Font de la Guatlla,Menys d'un any d'antiguitat,92
2016,3,Sants-Montjuïc,15,Hostafrancs,Menys d'un any d'antiguitat,95
2016,3,Sants-Montjuïc,16,la Bordeta,Menys d'un any d'antiguitat,117
2016,3,Sants-Montjuïc,17,Sants - Badal,Menys d'un any d'antiguitat,152
2016,3,Sants-Montjuïc,18,Sants,Menys d'un any d'antiguitat,311
2016,4,Les Corts,19,les Corts,Menys d'un any d'antiguitat,475
2016,4,Les Corts,20,la Maternitat i Sant Ramon,Menys d'un any d'antiguitat,225
2016,4,Les Corts,21,Pedralbes,Menys d'un any d'antiguitat,172
2016,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Menys d'un any d'antiguitat,49
2016,5,Sarrià-Sant Gervasi,23,Sarrià,Menys d'un any d'antiguitat,291
2016,5,Sarrià-Sant Gervasi,24,les Tres Torres,Menys d'un any d'antiguitat,206
2016,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Menys d'un any d'antiguitat,308
2016,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Menys d'un any d'antiguitat,841
2016,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Menys d'un any d'antiguitat,332
2016,6,Gràcia,28,Vallcarca i els Penitents,Menys d'un any d'antiguitat,149
2016,6,Gràcia,29,el Coll,Menys d'un any d'antiguitat,64
2016,6,Gràcia,30,la Salut,Menys d'un any d'antiguitat,151
2016,6,Gràcia,31,la Vila de Gràcia,Menys d'un any d'antiguitat,446
2016,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Menys d'un any d'antiguitat,334
2016,7,Horta-Guinardó,33,el Baix Guinardó,Menys d'un any d'antiguitat,235
2016,7,Horta-Guinardó,34,Can Baró,Menys d'un any d'antiguitat,80
2016,7,Horta-Guinardó,35,el Guinardó,Menys d'un any d'antiguitat,281
2016,7,Horta-Guinardó,36,la Font d'en Fargues,Menys d'un any d'antiguitat,89
2016,7,Horta-Guinardó,37,el Carmel,Menys d'un any d'antiguitat,226
2016,7,Horta-Guinardó,38,la Teixonera,Menys d'un any d'antiguitat,108
2016,7,Horta-Guinardó,39,Sant Genís dels Agudells,Menys d'un any d'antiguitat,65
2016,7,Horta-Guinardó,40,Montbau,Menys d'un any d'antiguitat,34
2016,7,Horta-Guinardó,41,la Vall d'Hebron,Menys d'un any d'antiguitat,38
2016,7,Horta-Guinardó,42,la Clota,Menys d'un any d'antiguitat,5
2016,7,Horta-Guinardó,43,Horta,Menys d'un any d'antiguitat,211
2016,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Menys d'un any d'antiguitat,161
2016,8,Nou Barris,45,Porta,Menys d'un any d'antiguitat,129
2016,8,Nou Barris,46,el Turó de la Peira,Menys d'un any d'antiguitat,81
2016,8,Nou Barris,47,Can Peguera,Menys d'un any d'antiguitat,11
2016,8,Nou Barris,48,la Guineueta,Menys d'un any d'antiguitat,76
2016,8,Nou Barris,49,Canyelles,Menys d'un any d'antiguitat,40
2016,8,Nou Barris,50,les Roquetes,Menys d'un any d'antiguitat,69
2016,8,Nou Barris,51,Verdun,Menys d'un any d'antiguitat,52
2016,8,Nou Barris,52,la Prosperitat,Menys d'un any d'antiguitat,138
2016,8,Nou Barris,53,la Trinitat Nova,Menys d'un any d'antiguitat,35
2016,8,Nou Barris,54,Torre Baró,Menys d'un any d'antiguitat,7
