Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Antiguitat,Nombre_motos
2014,1,Ciutat Vella,1,el Raval,Menys d'un any d'antiguitat,133
2014,1,Ciutat Vella,2,el Barri Gòtic,Menys d'un any d'antiguitat,168
2014,1,Ciutat Vella,3,la Barceloneta,Menys d'un any d'antiguitat,77
2014,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Menys d'un any d'antiguitat,110
2014,2,Eixample,5,el Fort Pienc,Menys d'un any d'antiguitat,180
2014,2,Eixample,6,la Sagrada Família,Menys d'un any d'antiguitat,320
2014,2,Eixample,7,la Dreta de l'Eixample,Menys d'un any d'antiguitat,464
2014,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Menys d'un any d'antiguitat,406
2014,2,Eixample,9,la Nova Esquerra de l'Eixample,Menys d'un any d'antiguitat,410
2014,2,Eixample,10,Sant Antoni,Menys d'un any d'antiguitat,190
2014,3,Sants-Montjuïc,11,el Poble Sec,Menys d'un any d'antiguitat,167
2014,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Menys d'un any d'antiguitat,11
2014,3,Sants-Montjuïc,13,la Marina de Port,Menys d'un any d'antiguitat,191
2014,3,Sants-Montjuïc,14,la Font de la Guatlla,Menys d'un any d'antiguitat,62
2014,3,Sants-Montjuïc,15,Hostafrancs,Menys d'un any d'antiguitat,74
2014,3,Sants-Montjuïc,16,la Bordeta,Menys d'un any d'antiguitat,105
2014,3,Sants-Montjuïc,17,Sants - Badal,Menys d'un any d'antiguitat,109
2014,3,Sants-Montjuïc,18,Sants,Menys d'un any d'antiguitat,207
2014,4,Les Corts,19,les Corts,Menys d'un any d'antiguitat,363
2014,4,Les Corts,20,la Maternitat i Sant Ramon,Menys d'un any d'antiguitat,179
2014,4,Les Corts,21,Pedralbes,Menys d'un any d'antiguitat,148
2014,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Menys d'un any d'antiguitat,48
2014,5,Sarrià-Sant Gervasi,23,Sarrià,Menys d'un any d'antiguitat,255
2014,5,Sarrià-Sant Gervasi,24,les Tres Torres,Menys d'un any d'antiguitat,201
2014,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Menys d'un any d'antiguitat,312
2014,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Menys d'un any d'antiguitat,641
2014,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Menys d'un any d'antiguitat,269
2014,6,Gràcia,28,Vallcarca i els Penitents,Menys d'un any d'antiguitat,129
2014,6,Gràcia,29,el Coll,Menys d'un any d'antiguitat,60
2014,6,Gràcia,30,la Salut,Menys d'un any d'antiguitat,92
2014,6,Gràcia,31,la Vila de Gràcia,Menys d'un any d'antiguitat,305
2014,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Menys d'un any d'antiguitat,242
2014,7,Horta-Guinardó,33,el Baix Guinardó,Menys d'un any d'antiguitat,159
2014,7,Horta-Guinardó,34,Can Baró,Menys d'un any d'antiguitat,78
2014,7,Horta-Guinardó,35,el Guinardó,Menys d'un any d'antiguitat,204
2014,7,Horta-Guinardó,36,la Font d'en Fargues,Menys d'un any d'antiguitat,76
2014,7,Horta-Guinardó,37,el Carmel,Menys d'un any d'antiguitat,195
2014,7,Horta-Guinardó,38,la Teixonera,Menys d'un any d'antiguitat,80
2014,7,Horta-Guinardó,39,Sant Genís dels Agudells,Menys d'un any d'antiguitat,30
2014,7,Horta-Guinardó,40,Montbau,Menys d'un any d'antiguitat,22
2014,7,Horta-Guinardó,41,la Vall d'Hebron,Menys d'un any d'antiguitat,39
2014,7,Horta-Guinardó,42,la Clota,Menys d'un any d'antiguitat,2
