Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Antiguitat,Nombre_motos
2013,1,Ciutat Vella,1,el Raval,Menys d'un any d'antiguitat,110
2013,1,Ciutat Vella,2,el Barri Gòtic,Menys d'un any d'antiguitat,182
2013,1,Ciutat Vella,3,la Barceloneta,Menys d'un any d'antiguitat,1199
2013,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Menys d'un any d'antiguitat,89
2013,2,Eixample,5,el Fort Pienc,Menys d'un any d'antiguitat,150
2013,2,Eixample,6,la Sagrada Família,Menys d'un any d'antiguitat,280
2013,2,Eixample,7,la Dreta de l'Eixample,Menys d'un any d'antiguitat,329
2013,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Menys d'un any d'antiguitat,333
2013,2,Eixample,9,la Nova Esquerra de l'Eixample,Menys d'un any d'antiguitat,321
2013,2,Eixample,10,Sant Antoni,Menys d'un any d'antiguitat,186
2013,3,Sants-Montjuïc,11,el Poble Sec,Menys d'un any d'antiguitat,130
2013,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Menys d'un any d'antiguitat,10
2013,3,Sants-Montjuïc,13,la Marina de Port,Menys d'un any d'antiguitat,155
2013,3,Sants-Montjuïc,14,la Font de la Guatlla,Menys d'un any d'antiguitat,52
2013,3,Sants-Montjuïc,15,Hostafrancs,Menys d'un any d'antiguitat,60
2013,3,Sants-Montjuïc,16,la Bordeta,Menys d'un any d'antiguitat,95
2013,3,Sants-Montjuïc,17,Sants - Badal,Menys d'un any d'antiguitat,80
2013,3,Sants-Montjuïc,18,Sants,Menys d'un any d'antiguitat,173
2013,4,Les Corts,19,les Corts,Menys d'un any d'antiguitat,283
2013,4,Les Corts,20,la Maternitat i Sant Ramon,Menys d'un any d'antiguitat,148
2013,4,Les Corts,21,Pedralbes,Menys d'un any d'antiguitat,111
2013,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Menys d'un any d'antiguitat,28
2013,5,Sarrià-Sant Gervasi,23,Sarrià,Menys d'un any d'antiguitat,204
2013,5,Sarrià-Sant Gervasi,24,les Tres Torres,Menys d'un any d'antiguitat,168
2013,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Menys d'un any d'antiguitat,275
2013,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Menys d'un any d'antiguitat,553
2013,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Menys d'un any d'antiguitat,229
2013,6,Gràcia,28,Vallcarca i els Penitents,Menys d'un any d'antiguitat,113
2013,6,Gràcia,29,el Coll,Menys d'un any d'antiguitat,54
2013,6,Gràcia,30,la Salut,Menys d'un any d'antiguitat,90
2013,6,Gràcia,31,la Vila de Gràcia,Menys d'un any d'antiguitat,267
2013,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Menys d'un any d'antiguitat,199
2013,7,Horta-Guinardó,33,el Baix Guinardó,Menys d'un any d'antiguitat,125
2013,7,Horta-Guinardó,34,Can Baró,Menys d'un any d'antiguitat,56
2013,7,Horta-Guinardó,35,el Guinardó,Menys d'un any d'antiguitat,161
2013,7,Horta-Guinardó,36,la Font d'en Fargues,Menys d'un any d'antiguitat,76
2013,7,Horta-Guinardó,37,el Carmel,Menys d'un any d'antiguitat,146
2013,7,Horta-Guinardó,38,la Teixonera,Menys d'un any d'antiguitat,67
2013,7,Horta-Guinardó,39,Sant Genís dels Agudells,Menys d'un any d'antiguitat,29
2013,7,Horta-Guinardó,40,Montbau,Menys d'un any d'antiguitat,28
2013,7,Horta-Guinardó,41,la Vall d'Hebron,Menys d'un any d'antiguitat,20
2013,7,Horta-Guinardó,42,la Clota,Menys d'un any d'antiguitat,2
2013,7,Horta-Guinardó,43,Horta,Menys d'un any d'antiguitat,125
