Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Antiguitat,Nombre_motos
2015,1,Ciutat Vella,1,el Raval,Menys d'un any d'antiguitat,163
2015,1,Ciutat Vella,2,el Barri Gòtic,Menys d'un any d'antiguitat,284
2015,1,Ciutat Vella,3,la Barceloneta,Menys d'un any d'antiguitat,82
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Menys d'un any d'antiguitat,140
2015,2,Eixample,5,el Fort Pienc,Menys d'un any d'antiguitat,223
2015,2,Eixample,6,la Sagrada Família,Menys d'un any d'antiguitat,364
2015,2,Eixample,7,la Dreta de l'Eixample,Menys d'un any d'antiguitat,469
2015,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Menys d'un any d'antiguitat,507
2015,2,Eixample,9,la Nova Esquerra de l'Eixample,Menys d'un any d'antiguitat,466
2015,2,Eixample,10,Sant Antoni,Menys d'un any d'antiguitat,264
2015,3,Sants-Montjuïc,11,el Poble Sec,Menys d'un any d'antiguitat,202
2015,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Menys d'un any d'antiguitat,26
2015,3,Sants-Montjuïc,13,la Marina de Port,Menys d'un any d'antiguitat,214
2015,3,Sants-Montjuïc,14,la Font de la Guatlla,Menys d'un any d'antiguitat,74
2015,3,Sants-Montjuïc,15,Hostafrancs,Menys d'un any d'antiguitat,99
2015,3,Sants-Montjuïc,16,la Bordeta,Menys d'un any d'antiguitat,128
2015,3,Sants-Montjuïc,17,Sants - Badal,Menys d'un any d'antiguitat,129
2015,3,Sants-Montjuïc,18,Sants,Menys d'un any d'antiguitat,267
2015,4,Les Corts,19,les Corts,Menys d'un any d'antiguitat,433
2015,4,Les Corts,20,la Maternitat i Sant Ramon,Menys d'un any d'antiguitat,215
2015,4,Les Corts,21,Pedralbes,Menys d'un any d'antiguitat,132
2015,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Menys d'un any d'antiguitat,45
2015,5,Sarrià-Sant Gervasi,23,Sarrià,Menys d'un any d'antiguitat,282
2015,5,Sarrià-Sant Gervasi,24,les Tres Torres,Menys d'un any d'antiguitat,223
2015,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Menys d'un any d'antiguitat,314
2015,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Menys d'un any d'antiguitat,702
2015,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Menys d'un any d'antiguitat,330
2015,6,Gràcia,28,Vallcarca i els Penitents,Menys d'un any d'antiguitat,145
2015,6,Gràcia,29,el Coll,Menys d'un any d'antiguitat,64
2015,6,Gràcia,30,la Salut,Menys d'un any d'antiguitat,118
2015,6,Gràcia,31,la Vila de Gràcia,Menys d'un any d'antiguitat,362
2015,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Menys d'un any d'antiguitat,282
2015,7,Horta-Guinardó,33,el Baix Guinardó,Menys d'un any d'antiguitat,185
2015,7,Horta-Guinardó,34,Can Baró,Menys d'un any d'antiguitat,69
2015,7,Horta-Guinardó,35,el Guinardó,Menys d'un any d'antiguitat,264
2015,7,Horta-Guinardó,36,la Font d'en Fargues,Menys d'un any d'antiguitat,88
2015,7,Horta-Guinardó,37,el Carmel,Menys d'un any d'antiguitat,218
2015,7,Horta-Guinardó,38,la Teixonera,Menys d'un any d'antiguitat,98
2015,7,Horta-Guinardó,39,Sant Genís dels Agudells,Menys d'un any d'antiguitat,46
2015,7,Horta-Guinardó,40,Montbau,Menys d'un any d'antiguitat,32
2015,7,Horta-Guinardó,41,la Vall d'Hebron,Menys d'un any d'antiguitat,40
2015,7,Horta-Guinardó,42,la Clota,Menys d'un any d'antiguitat,3
2015,7,Horta-Guinardó,43,Horta,Menys d'un any d'antiguitat,190
2015,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Menys d'un any d'antiguitat,127
2015,8,Nou Barris,45,Porta,Menys d'un any d'antiguitat,121
2015,8,Nou Barris,46,el Turó de la Peira,Menys d'un any d'antiguitat,57
2015,8,Nou Barris,47,Can Peguera,Menys d'un any d'antiguitat,15
2015,8,Nou Barris,48,la Guineueta,Menys d'un any d'antiguitat,100
2015,8,Nou Barris,49,Canyelles,Menys d'un any d'antiguitat,44
2015,8,Nou Barris,50,les Roquetes,Menys d'un any d'antiguitat,68
2015,8,Nou Barris,51,Verdun,Menys d'un any d'antiguitat,47
2015,8,Nou Barris,52,la Prosperitat,Menys d'un any d'antiguitat,141
2015,8,Nou Barris,53,la Trinitat Nova,Menys d'un any d'antiguitat,29
2015,8,Nou Barris,54,Torre Baró,Menys d'un any d'antiguitat,11
2015,8,Nou Barris,55,Ciutat Meridiana,Menys d'un any d'antiguitat,28
2015,8,Nou Barris,56,Vallbona,Menys d'un any d'antiguitat,2
2015,9,Sant Andreu,57,la Trinitat Vella,Menys d'un any d'antiguitat,23
2015,9,Sant Andreu,58,Baró de Viver,Menys d'un any d'antiguitat,10
2015,9,Sant Andreu,59,el Bon Pastor,Menys d'un any d'antiguitat,69
2015,9,Sant Andreu,60,Sant Andreu,Menys d'un any d'antiguitat,351
2015,9,Sant Andreu,61,la Sagrera,Menys d'un any d'antiguitat,155
2015,9,Sant Andreu,62,el Congrés i els Indians,Menys d'un any d'antiguitat,60
2015,9,Sant Andreu,63,Navas,Menys d'un any d'antiguitat,118
2015,10,Sant Martí,64,el Camp de l'Arpa del Clot,Menys d'un any d'antiguitat,223
2015,10,Sant Martí,65,el Clot,Menys d'un any d'antiguitat,156
2015,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Menys d'un any d'antiguitat,116
2015,10,Sant Martí,67,la Vila Olímpica del Poblenou,Menys d'un any d'antiguitat,87
2015,10,Sant Martí,68,el Poblenou,Menys d'un any d'antiguitat,228
2015,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Menys d'un any d'antiguitat,120
2015,10,Sant Martí,70,el Besòs i el Maresme,Menys d'un any d'antiguitat,76
2015,10,Sant Martí,71,Provençals del Poblenou,Menys d'un any d'antiguitat,119
2015,10,Sant Martí,72,Sant Martí de Provençals,Menys d'un any d'antiguitat,125
2015,10,Sant Martí,73,la Verneda i la Pau,Menys d'un any d'antiguitat,126
2015,99,No consta,99,No consta,Menys d'un any d'antiguitat,1
2015,1,Ciutat Vella,1,el Raval,1 any,129
2015,1,Ciutat Vella,2,el Barri Gòtic,1 any,165
2015,1,Ciutat Vella,3,la Barceloneta,1 any,64
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1 any,106
2015,2,Eixample,5,el Fort Pienc,1 any,177
2015,2,Eixample,6,la Sagrada Família,1 any,324
2015,2,Eixample,7,la Dreta de l'Eixample,1 any,455
2015,2,Eixample,8,l'Antiga Esquerra de l'Eixample,1 any,376
2015,2,Eixample,9,la Nova Esquerra de l'Eixample,1 any,394
2015,2,Eixample,10,Sant Antoni,1 any,187
2015,3,Sants-Montjuïc,11,el Poble Sec,1 any,162
2015,3,Sants-Montjuïc,12,la Marina del Prat Vermell,1 any,9
2015,3,Sants-Montjuïc,13,la Marina de Port,1 any,182
2015,3,Sants-Montjuïc,14,la Font de la Guatlla,1 any,69
2015,3,Sants-Montjuïc,15,Hostafrancs,1 any,73
2015,3,Sants-Montjuïc,16,la Bordeta,1 any,105
2015,3,Sants-Montjuïc,17,Sants - Badal,1 any,110
2015,3,Sants-Montjuïc,18,Sants,1 any,200
2015,4,Les Corts,19,les Corts,1 any,350
2015,4,Les Corts,20,la Maternitat i Sant Ramon,1 any,175
2015,4,Les Corts,21,Pedralbes,1 any,142
2015,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",1 any,45
2015,5,Sarrià-Sant Gervasi,23,Sarrià,1 any,258
2015,5,Sarrià-Sant Gervasi,24,les Tres Torres,1 any,207
2015,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,1 any,314
2015,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,1 any,592
2015,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,1 any,270
2015,6,Gràcia,28,Vallcarca i els Penitents,1 any,132
2015,6,Gràcia,29,el Coll,1 any,58
2015,6,Gràcia,30,la Salut,1 any,94
2015,6,Gràcia,31,la Vila de Gràcia,1 any,308
2015,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,1 any,228
2015,7,Horta-Guinardó,33,el Baix Guinardó,1 any,165
2015,7,Horta-Guinardó,34,Can Baró,1 any,77
2015,7,Horta-Guinardó,35,el Guinardó,1 any,209
2015,7,Horta-Guinardó,36,la Font d'en Fargues,1 any,74
2015,7,Horta-Guinardó,37,el Carmel,1 any,193
2015,7,Horta-Guinardó,38,la Teixonera,1 any,84
2015,7,Horta-Guinardó,39,Sant Genís dels Agudells,1 any,27
2015,7,Horta-Guinardó,40,Montbau,1 any,20
2015,7,Horta-Guinardó,41,la Vall d'Hebron,1 any,36
2015,7,Horta-Guinardó,42,la Clota,1 any,2
2015,7,Horta-Guinardó,43,Horta,1 any,159
2015,8,Nou Barris,44,Vilapicina i la Torre Llobeta,1 any,117
2015,8,Nou Barris,45,Porta,1 any,104
2015,8,Nou Barris,46,el Turó de la Peira,1 any,56
2015,8,Nou Barris,47,Can Peguera,1 any,11
2015,8,Nou Barris,48,la Guineueta,1 any,63
2015,8,Nou Barris,49,Canyelles,1 any,26
2015,8,Nou Barris,50,les Roquetes,1 any,56
2015,8,Nou Barris,51,Verdun,1 any,43
2015,8,Nou Barris,52,la Prosperitat,1 any,112
2015,8,Nou Barris,53,la Trinitat Nova,1 any,15
2015,8,Nou Barris,54,Torre Baró,1 any,8
2015,8,Nou Barris,55,Ciutat Meridiana,1 any,20
2015,8,Nou Barris,56,Vallbona,1 any,6
2015,9,Sant Andreu,57,la Trinitat Vella,1 any,28
2015,9,Sant Andreu,58,Baró de Viver,1 any,10
2015,9,Sant Andreu,59,el Bon Pastor,1 any,64
2015,9,Sant Andreu,60,Sant Andreu,1 any,301
2015,9,Sant Andreu,61,la Sagrera,1 any,147
2015,9,Sant Andreu,62,el Congrés i els Indians,1 any,65
2015,9,Sant Andreu,63,Navas,1 any,112
2015,10,Sant Martí,64,el Camp de l'Arpa del Clot,1 any,187
2015,10,Sant Martí,65,el Clot,1 any,145
2015,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,1 any,91
2015,10,Sant Martí,67,la Vila Olímpica del Poblenou,1 any,71
2015,10,Sant Martí,68,el Poblenou,1 any,175
2015,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,1 any,92
2015,10,Sant Martí,70,el Besòs i el Maresme,1 any,68
2015,10,Sant Martí,71,Provençals del Poblenou,1 any,128
