Any,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Seccio_censal,Tipus_Vehicles,Desc_tipus_propietari,Nombre
2017,NC,No consta,NC,No consta,NC,Turismes,Subjecte Jurídic,76
2017,NC,No consta,NC,No consta,NC,Turismes,Subjecte Físic,436
2017,NC,No consta,NC,No consta,NC,Turismes,Altres,1
2017,NC,No consta,NC,No consta,NC,Motos,Subjecte Jurídic,15
2017,NC,No consta,NC,No consta,NC,Motos,Subjecte Físic,237
2017,1,Ciutat Vella,1,el Raval,1,Turismes,Subjecte Jurídic,112
2017,1,Ciutat Vella,1,el Raval,1,Turismes,Subjecte Físic,225
2017,1,Ciutat Vella,1,el Raval,1,Motos,Subjecte Jurídic,18
2017,1,Ciutat Vella,1,el Raval,1,Motos,Subjecte Físic,90
2017,1,Ciutat Vella,1,el Raval,2,Turismes,Subjecte Jurídic,14
2017,1,Ciutat Vella,1,el Raval,2,Turismes,Subjecte Físic,166
2017,1,Ciutat Vella,1,el Raval,2,Motos,Subjecte Jurídic,9
2017,1,Ciutat Vella,1,el Raval,2,Motos,Subjecte Físic,76
2017,1,Ciutat Vella,1,el Raval,3,Turismes,Subjecte Jurídic,22
2017,1,Ciutat Vella,1,el Raval,3,Turismes,Subjecte Físic,364
2017,1,Ciutat Vella,1,el Raval,3,Motos,Subjecte Jurídic,5
2017,1,Ciutat Vella,1,el Raval,3,Motos,Subjecte Físic,153
2017,1,Ciutat Vella,1,el Raval,4,Turismes,Subjecte Jurídic,21
2017,1,Ciutat Vella,1,el Raval,4,Turismes,Subjecte Físic,392
2017,1,Ciutat Vella,1,el Raval,4,Turismes,Altres,2
2017,1,Ciutat Vella,1,el Raval,4,Motos,Subjecte Jurídic,11
2017,1,Ciutat Vella,1,el Raval,4,Motos,Subjecte Físic,210
2017,1,Ciutat Vella,1,el Raval,5,Turismes,Subjecte Jurídic,34
2017,1,Ciutat Vella,1,el Raval,5,Turismes,Subjecte Físic,261
2017,1,Ciutat Vella,1,el Raval,5,Motos,Subjecte Jurídic,27
2017,1,Ciutat Vella,1,el Raval,5,Motos,Subjecte Físic,134
2017,1,Ciutat Vella,1,el Raval,6,Turismes,Subjecte Jurídic,17
2017,1,Ciutat Vella,1,el Raval,6,Turismes,Subjecte Físic,185
2017,1,Ciutat Vella,1,el Raval,6,Turismes,Altres,1
2017,1,Ciutat Vella,1,el Raval,6,Motos,Subjecte Físic,92
2017,1,Ciutat Vella,1,el Raval,7,Turismes,Subjecte Jurídic,9
2017,1,Ciutat Vella,1,el Raval,7,Turismes,Subjecte Físic,239
2017,1,Ciutat Vella,1,el Raval,7,Motos,Subjecte Jurídic,3
2017,1,Ciutat Vella,1,el Raval,7,Motos,Subjecte Físic,103
2017,1,Ciutat Vella,1,el Raval,8,Turismes,Subjecte Jurídic,9
2017,1,Ciutat Vella,1,el Raval,8,Turismes,Subjecte Físic,310
2017,1,Ciutat Vella,1,el Raval,8,Motos,Subjecte Jurídic,2
2017,1,Ciutat Vella,1,el Raval,8,Motos,Subjecte Físic,145
2017,1,Ciutat Vella,1,el Raval,9,Turismes,Subjecte Jurídic,10
2017,1,Ciutat Vella,1,el Raval,9,Turismes,Subjecte Físic,231
2017,1,Ciutat Vella,1,el Raval,9,Motos,Subjecte Jurídic,3
2017,1,Ciutat Vella,1,el Raval,9,Motos,Subjecte Físic,124
2017,1,Ciutat Vella,1,el Raval,10,Turismes,Subjecte Jurídic,8
2017,1,Ciutat Vella,1,el Raval,10,Turismes,Subjecte Físic,242
2017,1,Ciutat Vella,1,el Raval,10,Motos,Subjecte Jurídic,7
2017,1,Ciutat Vella,1,el Raval,10,Motos,Subjecte Físic,112
2017,1,Ciutat Vella,1,el Raval,11,Turismes,Subjecte Jurídic,43
2017,1,Ciutat Vella,1,el Raval,11,Turismes,Subjecte Físic,287
2017,1,Ciutat Vella,1,el Raval,11,Motos,Subjecte Jurídic,9
2017,1,Ciutat Vella,1,el Raval,11,Motos,Subjecte Físic,150
2017,1,Ciutat Vella,1,el Raval,12,Turismes,Subjecte Jurídic,13
2017,1,Ciutat Vella,1,el Raval,12,Turismes,Subjecte Físic,194
2017,1,Ciutat Vella,1,el Raval,12,Motos,Subjecte Jurídic,7
2017,1,Ciutat Vella,1,el Raval,12,Motos,Subjecte Físic,129
2017,1,Ciutat Vella,1,el Raval,13,Turismes,Subjecte Jurídic,11
2017,1,Ciutat Vella,1,el Raval,13,Turismes,Subjecte Físic,196
2017,1,Ciutat Vella,1,el Raval,13,Motos,Subjecte Jurídic,1
2017,1,Ciutat Vella,1,el Raval,13,Motos,Subjecte Físic,93
2017,1,Ciutat Vella,1,el Raval,14,Turismes,Subjecte Jurídic,9
2017,1,Ciutat Vella,1,el Raval,14,Turismes,Subjecte Físic,161
2017,1,Ciutat Vella,1,el Raval,14,Motos,Subjecte Jurídic,1
2017,1,Ciutat Vella,1,el Raval,14,Motos,Subjecte Físic,96
2017,1,Ciutat Vella,1,el Raval,15,Turismes,Subjecte Jurídic,27
2017,1,Ciutat Vella,1,el Raval,15,Turismes,Subjecte Físic,209
2017,1,Ciutat Vella,1,el Raval,15,Motos,Subjecte Jurídic,6
2017,1,Ciutat Vella,1,el Raval,15,Motos,Subjecte Físic,107
2017,1,Ciutat Vella,1,el Raval,16,Turismes,Subjecte Jurídic,12
2017,1,Ciutat Vella,1,el Raval,16,Turismes,Subjecte Físic,153
2017,1,Ciutat Vella,1,el Raval,16,Motos,Subjecte Jurídic,38
2017,1,Ciutat Vella,1,el Raval,16,Motos,Subjecte Físic,111
2017,1,Ciutat Vella,1,el Raval,17,Turismes,Subjecte Jurídic,34
2017,1,Ciutat Vella,1,el Raval,17,Turismes,Subjecte Físic,208
2017,1,Ciutat Vella,1,el Raval,17,Motos,Subjecte Jurídic,15
2017,1,Ciutat Vella,1,el Raval,17,Motos,Subjecte Físic,127
2017,1,Ciutat Vella,1,el Raval,18,Turismes,Subjecte Jurídic,3
2017,1,Ciutat Vella,1,el Raval,18,Turismes,Subjecte Físic,151
2017,1,Ciutat Vella,1,el Raval,18,Motos,Subjecte Jurídic,13
2017,1,Ciutat Vella,1,el Raval,18,Motos,Subjecte Físic,75
2017,1,Ciutat Vella,1,el Raval,19,Turismes,Subjecte Jurídic,27
2017,1,Ciutat Vella,1,el Raval,19,Turismes,Subjecte Físic,306
2017,1,Ciutat Vella,1,el Raval,19,Turismes,Altres,2
2017,1,Ciutat Vella,1,el Raval,19,Motos,Subjecte Jurídic,10
2017,1,Ciutat Vella,1,el Raval,19,Motos,Subjecte Físic,156
2017,1,Ciutat Vella,1,el Raval,20,Turismes,Subjecte Jurídic,53
2017,1,Ciutat Vella,1,el Raval,20,Turismes,Subjecte Físic,304
2017,1,Ciutat Vella,1,el Raval,20,Motos,Subjecte Jurídic,12
2017,1,Ciutat Vella,1,el Raval,20,Motos,Subjecte Físic,193
2017,1,Ciutat Vella,1,el Raval,21,Turismes,Subjecte Jurídic,104
2017,1,Ciutat Vella,1,el Raval,21,Turismes,Subjecte Físic,272
2017,1,Ciutat Vella,1,el Raval,21,Motos,Subjecte Jurídic,40
2017,1,Ciutat Vella,1,el Raval,21,Motos,Subjecte Físic,162
2017,1,Ciutat Vella,2,el Barri Gòtic,22,Turismes,Subjecte Jurídic,50
2017,1,Ciutat Vella,2,el Barri Gòtic,22,Turismes,Subjecte Físic,218
2017,1,Ciutat Vella,2,el Barri Gòtic,22,Motos,Subjecte Jurídic,16
2017,1,Ciutat Vella,2,el Barri Gòtic,22,Motos,Subjecte Físic,115
2017,1,Ciutat Vella,2,el Barri Gòtic,23,Turismes,Subjecte Jurídic,148
2017,1,Ciutat Vella,2,el Barri Gòtic,23,Turismes,Subjecte Físic,311
2017,1,Ciutat Vella,2,el Barri Gòtic,23,Motos,Subjecte Jurídic,46
2017,1,Ciutat Vella,2,el Barri Gòtic,23,Motos,Subjecte Físic,220
2017,1,Ciutat Vella,2,el Barri Gòtic,25,Turismes,Subjecte Jurídic,1952
2017,1,Ciutat Vella,2,el Barri Gòtic,25,Turismes,Subjecte Físic,164
2017,1,Ciutat Vella,2,el Barri Gòtic,25,Motos,Subjecte Jurídic,496
2017,1,Ciutat Vella,2,el Barri Gòtic,25,Motos,Subjecte Físic,108
2017,1,Ciutat Vella,2,el Barri Gòtic,26,Turismes,Subjecte Jurídic,90
2017,1,Ciutat Vella,2,el Barri Gòtic,26,Turismes,Subjecte Físic,227
2017,1,Ciutat Vella,2,el Barri Gòtic,26,Motos,Subjecte Jurídic,955
2017,1,Ciutat Vella,2,el Barri Gòtic,26,Motos,Subjecte Físic,158
2017,1,Ciutat Vella,2,el Barri Gòtic,27,Turismes,Subjecte Jurídic,243
2017,1,Ciutat Vella,2,el Barri Gòtic,27,Turismes,Subjecte Físic,242
2017,1,Ciutat Vella,2,el Barri Gòtic,27,Motos,Subjecte Jurídic,601
2017,1,Ciutat Vella,2,el Barri Gòtic,27,Motos,Subjecte Físic,168
2017,1,Ciutat Vella,2,el Barri Gòtic,28,Turismes,Subjecte Jurídic,61
2017,1,Ciutat Vella,2,el Barri Gòtic,28,Turismes,Subjecte Físic,270
