Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Tipus_propietari,Nombre_turismes
2015,1,Ciutat Vella,1,el Raval,Persona física,5693
2015,1,Ciutat Vella,2,el Barri Gòtic,Persona física,2429
2015,1,Ciutat Vella,3,la Barceloneta,Persona física,3356
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Persona física,3887
2015,2,Eixample,5,el Fort Pienc,Persona física,9133
2015,2,Eixample,6,la Sagrada Família,Persona física,14650
2015,2,Eixample,7,la Dreta de l'Eixample,Persona física,12902
2015,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Persona física,11568
2015,2,Eixample,9,la Nova Esquerra de l'Eixample,Persona física,17935
2015,2,Eixample,10,Sant Antoni,Persona física,9942
2015,3,Sants-Montjuïc,11,el Poble Sec,Persona física,9063
2015,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Persona física,603
2015,3,Sants-Montjuïc,13,la Marina de Port,Persona física,9654
2015,3,Sants-Montjuïc,14,la Font de la Guatlla,Persona física,3078
2015,3,Sants-Montjuïc,15,Hostafrancs,Persona física,4461
2015,3,Sants-Montjuïc,16,la Bordeta,Persona física,5843
2015,3,Sants-Montjuïc,17,Sants - Badal,Persona física,7159
2015,3,Sants-Montjuïc,18,Sants,Persona física,11548
2015,4,Les Corts,19,les Corts,Persona física,17124
2015,4,Les Corts,20,la Maternitat i Sant Ramon,Persona física,9016
2015,4,Les Corts,21,Pedralbes,Persona física,6215
2015,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Persona física,1832
2015,5,Sarrià-Sant Gervasi,23,Sarrià,Persona física,9566
2015,5,Sarrià-Sant Gervasi,24,les Tres Torres,Persona física,7534
2015,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Persona física,10152
2015,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Persona física,19230
2015,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Persona física,10205
2015,6,Gràcia,28,Vallcarca i els Penitents,Persona física,5450
2015,6,Gràcia,29,el Coll,Persona física,2180
2015,6,Gràcia,30,la Salut,Persona física,4616
2015,6,Gràcia,31,la Vila de Gràcia,Persona física,12079
2015,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Persona física,10828
2015,7,Horta-Guinardó,33,el Baix Guinardó,Persona física,7804
2015,7,Horta-Guinardó,34,Can Baró,Persona física,2881
2015,7,Horta-Guinardó,35,el Guinardó,Persona física,11213
2015,7,Horta-Guinardó,36,la Font d'en Fargues,Persona física,3856
2015,7,Horta-Guinardó,37,el Carmel,Persona física,9461
2015,7,Horta-Guinardó,38,la Teixonera,Persona física,3703
2015,7,Horta-Guinardó,39,Sant Genís dels Agudells,Persona física,2511
2015,7,Horta-Guinardó,40,Montbau,Persona física,1695
2015,7,Horta-Guinardó,41,la Vall d'Hebron,Persona física,2022
2015,7,Horta-Guinardó,42,la Clota,Persona física,133
2015,7,Horta-Guinardó,43,Horta,Persona física,8825
2015,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Persona física,7608
