Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Tipus_propietari,Nombre_turismes
2013,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Persona  jurídica,3947
2013,2,Eixample,9,la Nova Esquerra de l'Eixample,Persona  jurídica,3555
2013,2,Eixample,10,Sant Antoni,Persona  jurídica,1213
2013,3,Sants-Montjuïc,11,el Poble Sec,Persona  jurídica,510
2013,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Persona  jurídica,2957
2013,3,Sants-Montjuïc,13,la Marina de Port,Persona  jurídica,1062
2013,3,Sants-Montjuïc,14,la Font de la Guatlla,Persona  jurídica,2262
2013,3,Sants-Montjuïc,15,Hostafrancs,Persona  jurídica,358
2013,3,Sants-Montjuïc,16,la Bordeta,Persona  jurídica,6898
2013,3,Sants-Montjuïc,17,Sants - Badal,Persona  jurídica,448
2013,3,Sants-Montjuïc,18,Sants,Persona  jurídica,938
2013,4,Les Corts,19,les Corts,Persona  jurídica,3815
2013,4,Les Corts,20,la Maternitat i Sant Ramon,Persona  jurídica,973
2013,4,Les Corts,21,Pedralbes,Persona  jurídica,3539
2013,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Persona  jurídica,111
2013,5,Sarrià-Sant Gervasi,23,Sarrià,Persona  jurídica,1136
2013,5,Sarrià-Sant Gervasi,24,les Tres Torres,Persona  jurídica,2475
2013,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Persona  jurídica,1346
2013,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Persona  jurídica,6078
2013,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Persona  jurídica,1326
2013,6,Gràcia,28,Vallcarca i els Penitents,Persona  jurídica,381
2013,6,Gràcia,29,el Coll,Persona  jurídica,92
2013,6,Gràcia,30,la Salut,Persona  jurídica,294
2013,6,Gràcia,31,la Vila de Gràcia,Persona  jurídica,1628
2013,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Persona  jurídica,768
2013,7,Horta-Guinardó,33,el Baix Guinardó,Persona  jurídica,509
2013,7,Horta-Guinardó,34,Can Baró,Persona  jurídica,130
2013,7,Horta-Guinardó,35,el Guinardó,Persona  jurídica,698
2013,7,Horta-Guinardó,36,la Font d'en Fargues,Persona  jurídica,175
2013,7,Horta-Guinardó,37,el Carmel,Persona  jurídica,183
2013,7,Horta-Guinardó,38,la Teixonera,Persona  jurídica,143
2013,7,Horta-Guinardó,39,Sant Genís dels Agudells,Persona  jurídica,348
2013,7,Horta-Guinardó,40,Montbau,Persona  jurídica,42
