Any,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Seccio_censal,Tipus_Vehicles,Desc_tipus_propietari,Nombre
2018,NC,No consta,NC,No consta,NC,Turismes,Subjecte Jurídic,12
2018,NC,No consta,NC,No consta,NC,Turismes,Subjecte Físic,120
2018,NC,No consta,NC,No consta,NC,Turismes,Altres,1
2018,NC,No consta,NC,No consta,NC,Motos,Subjecte Jurídic,2
2018,NC,No consta,NC,No consta,NC,Motos,Subjecte Físic,48
2018,1,Ciutat Vella,1,el Raval,1,Turismes,Subjecte Jurídic,107
2018,1,Ciutat Vella,1,el Raval,1,Turismes,Subjecte Físic,236
2018,1,Ciutat Vella,1,el Raval,1,Motos,Subjecte Jurídic,21
2018,1,Ciutat Vella,1,el Raval,1,Motos,Subjecte Físic,95
2018,1,Ciutat Vella,1,el Raval,2,Turismes,Subjecte Jurídic,15
2018,1,Ciutat Vella,1,el Raval,2,Turismes,Subjecte Físic,160
2018,1,Ciutat Vella,1,el Raval,2,Motos,Subjecte Jurídic,13
2018,1,Ciutat Vella,1,el Raval,2,Motos,Subjecte Físic,81
2018,1,Ciutat Vella,1,el Raval,3,Turismes,Subjecte Jurídic,24
2018,1,Ciutat Vella,1,el Raval,3,Turismes,Subjecte Físic,356
2018,1,Ciutat Vella,1,el Raval,3,Motos,Subjecte Jurídic,4
2018,1,Ciutat Vella,1,el Raval,3,Motos,Subjecte Físic,151
2018,1,Ciutat Vella,1,el Raval,4,Turismes,Subjecte Jurídic,19
2018,1,Ciutat Vella,1,el Raval,4,Turismes,Subjecte Físic,407
2018,1,Ciutat Vella,1,el Raval,4,Turismes,Altres,2
2018,1,Ciutat Vella,1,el Raval,4,Motos,Subjecte Jurídic,11
2018,1,Ciutat Vella,1,el Raval,4,Motos,Subjecte Físic,209
2018,1,Ciutat Vella,1,el Raval,5,Turismes,Subjecte Jurídic,35
2018,1,Ciutat Vella,1,el Raval,5,Turismes,Subjecte Físic,264
2018,1,Ciutat Vella,1,el Raval,5,Motos,Subjecte Jurídic,27
