Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Sexe,Edat_any_a_any,Nombre
2013,1,Ciutat Vella,1,el Raval,Home,0 anys,225
2013,1,Ciutat Vella,2,el Barri Gòtic,Home,0 anys,44
2013,1,Ciutat Vella,3,la Barceloneta,Home,0 anys,51
2013,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Home,0 anys,93
2013,2,Eixample,5,el Fort Pienc,Home,0 anys,126
2013,2,Eixample,6,la Sagrada Família,Home,0 anys,223
2013,2,Eixample,7,la Dreta de l'Eixample,Home,0 anys,177
2013,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Home,0 anys,162
2013,2,Eixample,9,la Nova Esquerra de l'Eixample,Home,0 anys,210
2013,2,Eixample,10,Sant Antoni,Home,0 anys,149
2013,3,Sants-Montjuïc,11,el Poble Sec,Home,0 anys,159
2013,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Home,0 anys,9
2013,3,Sants-Montjuïc,13,la Marina de Port,Home,0 anys,119
2013,3,Sants-Montjuïc,14,la Font de la Guatlla,Home,0 anys,34
2013,3,Sants-Montjuïc,15,Hostafrancs,Home,0 anys,77
2013,3,Sants-Montjuïc,16,la Bordeta,Home,0 anys,83
2013,3,Sants-Montjuïc,17,Sants - Badal,Home,0 anys,95
2013,3,Sants-Montjuïc,18,Sants,Home,0 anys,188
2013,4,Les Corts,19,les Corts,Home,0 anys,182
2013,4,Les Corts,20,la Maternitat i Sant Ramon,Home,0 anys,81
2013,4,Les Corts,21,Pedralbes,Home,0 anys,34
2013,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Home,0 anys,26
2013,5,Sarrià-Sant Gervasi,23,Sarrià,Home,0 anys,119
2013,5,Sarrià-Sant Gervasi,24,les Tres Torres,Home,0 anys,76
2013,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Home,0 anys,139
2013,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Home,0 anys,193
2013,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Home,0 anys,139
2013,6,Gràcia,28,Vallcarca i els Penitents,Home,0 anys,84
2013,6,Gràcia,29,el Coll,Home,0 anys,29
2013,6,Gràcia,30,la Salut,Home,0 anys,59
2013,6,Gràcia,31,la Vila de Gràcia,Home,0 anys,233
2013,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Home,0 anys,152
2013,7,Horta-Guinardó,33,el Baix Guinardó,Home,0 anys,119
