Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Tipologia_parc,Nombre_vehicles
2014,1,Ciutat Vella,1,el Raval,Turismes,6227
2014,1,Ciutat Vella,2,el Barri Gòtic,Turismes,6579
2014,1,Ciutat Vella,3,la Barceloneta,Turismes,3594
2014,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Turismes,4442
2014,2,Eixample,5,el Fort Pienc,Turismes,11104
2014,2,Eixample,6,la Sagrada Família,Turismes,15902
2014,2,Eixample,7,la Dreta de l'Eixample,Turismes,19722
2014,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Turismes,15678
2014,2,Eixample,9,la Nova Esquerra de l'Eixample,Turismes,21456
2014,2,Eixample,10,Sant Antoni,Turismes,11233
2014,3,Sants-Montjuïc,11,el Poble Sec,Turismes,9322
2014,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Turismes,3815
2014,3,Sants-Montjuïc,13,la Marina de Port,Turismes,10719
2014,3,Sants-Montjuïc,14,la Font de la Guatlla,Turismes,5287
2014,3,Sants-Montjuïc,15,Hostafrancs,Turismes,4754
2014,3,Sants-Montjuïc,16,la Bordeta,Turismes,11486
2014,3,Sants-Montjuïc,17,Sants - Badal,Turismes,7568
2014,3,Sants-Montjuïc,18,Sants,Turismes,12345
2014,4,Les Corts,19,les Corts,Turismes,20976
2014,4,Les Corts,20,la Maternitat i Sant Ramon,Turismes,9924
2014,4,Les Corts,21,Pedralbes,Turismes,9740
2014,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Turismes,1852
2014,5,Sarrià-Sant Gervasi,23,Sarrià,Turismes,10667
2014,5,Sarrià-Sant Gervasi,24,les Tres Torres,Turismes,10053
2014,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Turismes,11566
2014,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Turismes,25407
2014,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Turismes,11559
2014,6,Gràcia,28,Vallcarca i els Penitents,Turismes,5761
2014,6,Gràcia,29,el Coll,Turismes,2245
2014,6,Gràcia,30,la Salut,Turismes,4895
2014,6,Gràcia,31,la Vila de Gràcia,Turismes,13583
2014,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Turismes,11505
2014,7,Horta-Guinardó,33,el Baix Guinardó,Turismes,8245
2014,7,Horta-Guinardó,34,Can Baró,Turismes,2864
2014,7,Horta-Guinardó,35,el Guinardó,Turismes,11604
2014,7,Horta-Guinardó,36,la Font d'en Fargues,Turismes,4027
2014,7,Horta-Guinardó,37,el Carmel,Turismes,9540
2014,7,Horta-Guinardó,38,la Teixonera,Turismes,3865
2014,7,Horta-Guinardó,39,Sant Genís dels Agudells,Turismes,2853
2014,7,Horta-Guinardó,40,Montbau,Turismes,1740
2014,7,Horta-Guinardó,41,la Vall d'Hebron,Turismes,2141
2014,7,Horta-Guinardó,42,la Clota,Turismes,146
2014,7,Horta-Guinardó,43,Horta,Turismes,9100
2014,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Turismes,8089
2014,8,Nou Barris,45,Porta,Turismes,7640
2014,8,Nou Barris,46,el Turó de la Peira,Turismes,3646
2014,8,Nou Barris,47,Can Peguera,Turismes,611
2014,8,Nou Barris,48,la Guineueta,Turismes,5229
2014,8,Nou Barris,49,Canyelles,Turismes,2874
2014,8,Nou Barris,50,les Roquetes,Turismes,4641
2014,8,Nou Barris,51,Verdun,Turismes,3523
2014,8,Nou Barris,52,la Prosperitat,Turismes,8436
2014,8,Nou Barris,53,la Trinitat Nova,Turismes,1937
2014,8,Nou Barris,54,Torre Baró,Turismes,806
2014,8,Nou Barris,55,Ciutat Meridiana,Turismes,2862
2014,8,Nou Barris,56,Vallbona,Turismes,406
2014,9,Sant Andreu,57,la Trinitat Vella,Turismes,2790
2014,9,Sant Andreu,58,Baró de Viver,Turismes,622
2014,9,Sant Andreu,59,el Bon Pastor,Turismes,5035
2014,9,Sant Andreu,60,Sant Andreu,Turismes,19248
2014,9,Sant Andreu,61,la Sagrera,Turismes,9519
2014,9,Sant Andreu,62,el Congrés i els Indians,Turismes,4023
2014,9,Sant Andreu,63,Navas,Turismes,7397
2014,10,Sant Martí,64,el Camp de l'Arpa del Clot,Turismes,11993
2014,10,Sant Martí,65,el Clot,Turismes,8603
2014,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Turismes,6399
2014,10,Sant Martí,67,la Vila Olímpica del Poblenou,Turismes,3838
2014,10,Sant Martí,68,el Poblenou,Turismes,10083
2014,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Turismes,3949
2014,10,Sant Martí,70,el Besòs i el Maresme,Turismes,6106
2014,10,Sant Martí,71,Provençals del Poblenou,Turismes,6979
2014,10,Sant Martí,72,Sant Martí de Provençals,Turismes,8867
2014,10,Sant Martí,73,la Verneda i la Pau,Turismes,9915
2014,99,No consta,99,No consta,Turismes,1543
2014,1,Ciutat Vella,1,el Raval,Motos,2706
2014,1,Ciutat Vella,2,el Barri Gòtic,Motos,4384
2014,1,Ciutat Vella,3,la Barceloneta,Motos,1991
2014,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Motos,2179
2014,2,Eixample,5,el Fort Pienc,Motos,3857
2014,2,Eixample,6,la Sagrada Família,Motos,6154
2014,2,Eixample,7,la Dreta de l'Eixample,Motos,8148
2014,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Motos,7103
2014,2,Eixample,9,la Nova Esquerra de l'Eixample,Motos,8141
2014,2,Eixample,10,Sant Antoni,Motos,4392
2014,3,Sants-Montjuïc,11,el Poble Sec,Motos,3738
2014,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Motos,351
2014,3,Sants-Montjuïc,13,la Marina de Port,Motos,2935
2014,3,Sants-Montjuïc,14,la Font de la Guatlla,Motos,1241
2014,3,Sants-Montjuïc,15,Hostafrancs,Motos,1576
2014,3,Sants-Montjuïc,16,la Bordeta,Motos,2007
2014,3,Sants-Montjuïc,17,Sants - Badal,Motos,2418
2014,3,Sants-Montjuïc,18,Sants,Motos,4646
2014,4,Les Corts,19,les Corts,Motos,7461
