Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Tipologia_parc,Nombre_vehicles
2017,1,Ciutat Vella,1,el Raval,Turismes,6650
2017,1,Ciutat Vella,2,el Barri Gòtic,Turismes,6325
2017,1,Ciutat Vella,3,la Barceloneta,Turismes,3836
2017,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Turismes,4603
2017,2,Eixample,5,el Fort Pienc,Turismes,11064
2017,2,Eixample,6,la Sagrada Família,Turismes,16215
2017,2,Eixample,7,la Dreta de l'Eixample,Turismes,20489
2017,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Turismes,16085
2017,2,Eixample,9,la Nova Esquerra de l'Eixample,Turismes,22326
2017,2,Eixample,10,Sant Antoni,Turismes,11899
2017,3,Sants-Montjuïc,11,el Poble Sec,Turismes,9814
2017,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Turismes,4183
2017,3,Sants-Montjuïc,13,la Marina de Port,Turismes,11493
2017,3,Sants-Montjuïc,14,la Font de la Guatlla,Turismes,5444
2017,3,Sants-Montjuïc,15,Hostafrancs,Turismes,4970
2017,3,Sants-Montjuïc,16,la Bordeta,Turismes,11607
2017,3,Sants-Montjuïc,17,Sants - Badal,Turismes,7913
2017,3,Sants-Montjuïc,18,Sants,Turismes,12702
2017,4,Les Corts,19,les Corts,Turismes,21633
2017,4,Les Corts,20,la Maternitat i Sant Ramon,Turismes,10246
2017,4,Les Corts,21,Pedralbes,Turismes,9968
2017,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Turismes,2113
2017,5,Sarrià-Sant Gervasi,23,Sarrià,Turismes,11110
2017,5,Sarrià-Sant Gervasi,24,les Tres Torres,Turismes,10354
2017,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Turismes,12288
2017,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Turismes,26740
2017,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Turismes,11903
2017,6,Gràcia,28,Vallcarca i els Penitents,Turismes,6019
2017,6,Gràcia,29,el Coll,Turismes,2380
2017,6,Gràcia,30,la Salut,Turismes,4975
2017,6,Gràcia,31,la Vila de Gràcia,Turismes,13994
2017,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Turismes,11612
2017,7,Horta-Guinardó,33,el Baix Guinardó,Turismes,8406
2017,7,Horta-Guinardó,34,Can Baró,Turismes,3122
2017,7,Horta-Guinardó,35,el Guinardó,Turismes,12190
2017,7,Horta-Guinardó,36,la Font d'en Fargues,Turismes,4072
2017,7,Horta-Guinardó,37,el Carmel,Turismes,9865
2017,7,Horta-Guinardó,38,la Teixonera,Turismes,3974
2017,7,Horta-Guinardó,39,Sant Genís dels Agudells,Turismes,2926
2017,7,Horta-Guinardó,40,Montbau,Turismes,1803
2017,7,Horta-Guinardó,41,la Vall d'Hebron,Turismes,2272
2017,7,Horta-Guinardó,42,la Clota,Turismes,188
2017,7,Horta-Guinardó,43,Horta,Turismes,9291
2017,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Turismes,8366
2017,8,Nou Barris,45,Porta,Turismes,7964
2017,8,Nou Barris,46,el Turó de la Peira,Turismes,3804
2017,8,Nou Barris,47,Can Peguera,Turismes,673
2017,8,Nou Barris,48,la Guineueta,Turismes,5400
2017,8,Nou Barris,49,Canyelles,Turismes,2993
2017,8,Nou Barris,50,les Roquetes,Turismes,4967
2017,8,Nou Barris,51,Verdun,Turismes,3751
2017,8,Nou Barris,52,la Prosperitat,Turismes,8661
2017,8,Nou Barris,53,la Trinitat Nova,Turismes,2051
2017,8,Nou Barris,54,Torre Baró,Turismes,967
2017,8,Nou Barris,55,Ciutat Meridiana,Turismes,3050
2017,8,Nou Barris,56,Vallbona,Turismes,476
2017,9,Sant Andreu,57,la Trinitat Vella,Turismes,3017
2017,9,Sant Andreu,58,Baró de Viver,Turismes,736
2017,9,Sant Andreu,59,el Bon Pastor,Turismes,5495
2017,9,Sant Andreu,60,Sant Andreu,Turismes,20380
2017,9,Sant Andreu,61,la Sagrera,Turismes,9867
2017,9,Sant Andreu,62,el Congrés i els Indians,Turismes,4163
2017,9,Sant Andreu,63,Navas,Turismes,7740
2017,10,Sant Martí,64,el Camp de l'Arpa del Clot,Turismes,12244
2017,10,Sant Martí,65,el Clot,Turismes,8949
2017,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Turismes,6976
2017,10,Sant Martí,67,la Vila Olímpica del Poblenou,Turismes,4301
2017,10,Sant Martí,68,el Poblenou,Turismes,10928
2017,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Turismes,4468
2017,10,Sant Martí,70,el Besòs i el Maresme,Turismes,6674
2017,10,Sant Martí,71,Provençals del Poblenou,Turismes,7551
2017,10,Sant Martí,72,Sant Martí de Provençals,Turismes,8988
2017,10,Sant Martí,73,la Verneda i la Pau,Turismes,10244
2017,99,No consta,99,No consta,Turismes,960
2017,1,Ciutat Vella,1,el Raval,Motos,3159
2017,1,Ciutat Vella,2,el Barri Gòtic,Motos,4299
2017,1,Ciutat Vella,3,la Barceloneta,Motos,2041
2017,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Motos,2674
2017,2,Eixample,5,el Fort Pienc,Motos,4284
2017,2,Eixample,6,la Sagrada Família,Motos,6904
2017,2,Eixample,7,la Dreta de l'Eixample,Motos,9007
2017,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Motos,7867
2017,2,Eixample,9,la Nova Esquerra de l'Eixample,Motos,8879
2017,2,Eixample,10,Sant Antoni,Motos,5075
2017,3,Sants-Montjuïc,11,el Poble Sec,Motos,4121
2017,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Motos,390
2017,3,Sants-Montjuïc,13,la Marina de Port,Motos,3518
2017,3,Sants-Montjuïc,14,la Font de la Guatlla,Motos,1456
2017,3,Sants-Montjuïc,15,Hostafrancs,Motos,1781
2017,3,Sants-Montjuïc,16,la Bordeta,Motos,2249
2017,3,Sants-Montjuïc,17,Sants - Badal,Motos,2775
2017,3,Sants-Montjuïc,18,Sants,Motos,5241
2017,4,Les Corts,19,les Corts,Motos,8091
