Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Tipologia_parc,Nombre_vehicles
2016,1,Ciutat Vella,1,el Raval,Turismes,6524
2016,1,Ciutat Vella,2,el Barri Gòtic,Turismes,6275
2016,1,Ciutat Vella,3,la Barceloneta,Turismes,3737
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Turismes,4558
2016,2,Eixample,5,el Fort Pienc,Turismes,11005
2016,2,Eixample,6,la Sagrada Família,Turismes,16079
2016,2,Eixample,7,la Dreta de l'Eixample,Turismes,20318
2016,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Turismes,15806
2016,2,Eixample,9,la Nova Esquerra de l'Eixample,Turismes,22011
2016,2,Eixample,10,Sant Antoni,Turismes,11774
2016,3,Sants-Montjuïc,11,el Poble Sec,Turismes,9701
2016,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Turismes,4016
2016,3,Sants-Montjuïc,13,la Marina de Port,Turismes,11130
2016,3,Sants-Montjuïc,14,la Font de la Guatlla,Turismes,5361
2016,3,Sants-Montjuïc,15,Hostafrancs,Turismes,4904
2016,3,Sants-Montjuïc,16,la Bordeta,Turismes,11512
2016,3,Sants-Montjuïc,17,Sants - Badal,Turismes,7781
2016,3,Sants-Montjuïc,18,Sants,Turismes,12597
2016,4,Les Corts,19,les Corts,Turismes,22335
2016,4,Les Corts,20,la Maternitat i Sant Ramon,Turismes,10101
2016,4,Les Corts,21,Pedralbes,Turismes,9915
2016,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Turismes,2014
2016,5,Sarrià-Sant Gervasi,23,Sarrià,Turismes,10946
2016,5,Sarrià-Sant Gervasi,24,les Tres Torres,Turismes,10243
2016,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Turismes,11931
2016,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Turismes,26226
2016,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Turismes,11861
2016,6,Gràcia,28,Vallcarca i els Penitents,Turismes,5942
2016,6,Gràcia,29,el Coll,Turismes,2313
2016,6,Gràcia,30,la Salut,Turismes,4965
2016,6,Gràcia,31,la Vila de Gràcia,Turismes,13900
2016,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Turismes,11604
2016,7,Horta-Guinardó,33,el Baix Guinardó,Turismes,8347
2016,7,Horta-Guinardó,34,Can Baró,Turismes,3048
2016,7,Horta-Guinardó,35,el Guinardó,Turismes,11985
2016,7,Horta-Guinardó,36,la Font d'en Fargues,Turismes,4043
2016,7,Horta-Guinardó,37,el Carmel,Turismes,9752
2016,7,Horta-Guinardó,38,la Teixonera,Turismes,3915
2016,7,Horta-Guinardó,39,Sant Genís dels Agudells,Turismes,2943
2016,7,Horta-Guinardó,40,Montbau,Turismes,1766
2016,7,Horta-Guinardó,41,la Vall d'Hebron,Turismes,2208
2016,7,Horta-Guinardó,42,la Clota,Turismes,168
2016,7,Horta-Guinardó,43,Horta,Turismes,9221
2016,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Turismes,8285
2016,8,Nou Barris,45,Porta,Turismes,7897
2016,8,Nou Barris,46,el Turó de la Peira,Turismes,3732
2016,8,Nou Barris,47,Can Peguera,Turismes,654
2016,8,Nou Barris,48,la Guineueta,Turismes,5309
2016,8,Nou Barris,49,Canyelles,Turismes,2944
2016,8,Nou Barris,50,les Roquetes,Turismes,4862
2016,8,Nou Barris,51,Verdun,Turismes,3679
2016,8,Nou Barris,52,la Prosperitat,Turismes,8596
2016,8,Nou Barris,53,la Trinitat Nova,Turismes,1985
2016,8,Nou Barris,54,Torre Baró,Turismes,883
2016,8,Nou Barris,55,Ciutat Meridiana,Turismes,3001
2016,8,Nou Barris,56,Vallbona,Turismes,441
2016,9,Sant Andreu,57,la Trinitat Vella,Turismes,2917
2016,9,Sant Andreu,58,Baró de Viver,Turismes,691
2016,9,Sant Andreu,59,el Bon Pastor,Turismes,5408
2016,9,Sant Andreu,60,Sant Andreu,Turismes,20143
2016,9,Sant Andreu,61,la Sagrera,Turismes,9719
2016,9,Sant Andreu,62,el Congrés i els Indians,Turismes,4099
2016,9,Sant Andreu,63,Navas,Turismes,7610
2016,10,Sant Martí,64,el Camp de l'Arpa del Clot,Turismes,12182
2016,10,Sant Martí,65,el Clot,Turismes,8827
2016,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Turismes,6845
2016,10,Sant Martí,67,la Vila Olímpica del Poblenou,Turismes,4038
2016,10,Sant Martí,68,el Poblenou,Turismes,10725
2016,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Turismes,4341
2016,10,Sant Martí,70,el Besòs i el Maresme,Turismes,6472
2016,10,Sant Martí,71,Provençals del Poblenou,Turismes,7361
2016,10,Sant Martí,72,Sant Martí de Provençals,Turismes,9005
2016,10,Sant Martí,73,la Verneda i la Pau,Turismes,10187
2016,99,No consta,99,No consta,Turismes,780
2016,1,Ciutat Vella,1,el Raval,Motos,2963
2016,1,Ciutat Vella,2,el Barri Gòtic,Motos,4328
2016,1,Ciutat Vella,3,la Barceloneta,Motos,1971
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Motos,2444
2016,2,Eixample,5,el Fort Pienc,Motos,4147
2016,2,Eixample,6,la Sagrada Família,Motos,6646
2016,2,Eixample,7,la Dreta de l'Eixample,Motos,8799
2016,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Motos,7610
2016,2,Eixample,9,la Nova Esquerra de l'Eixample,Motos,8696
2016,2,Eixample,10,Sant Antoni,Motos,4869
2016,3,Sants-Montjuïc,11,el Poble Sec,Motos,3993
2016,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Motos,385
2016,3,Sants-Montjuïc,13,la Marina de Port,Motos,3365
2016,3,Sants-Montjuïc,14,la Font de la Guatlla,Motos,1383
2016,3,Sants-Montjuïc,15,Hostafrancs,Motos,1747
2016,3,Sants-Montjuïc,16,la Bordeta,Motos,2164
2016,3,Sants-Montjuïc,17,Sants - Badal,Motos,2664
