Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Cilindrada_motos,Nombre_motos
2014,1,Ciutat Vella,1,el Raval,Fins a 75 cc,116
2014,1,Ciutat Vella,2,el Barri Gòtic,Fins a 75 cc,73
2014,1,Ciutat Vella,3,la Barceloneta,Fins a 75 cc,291
2014,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Fins a 75 cc,123
2014,2,Eixample,5,el Fort Pienc,Fins a 75 cc,179
2014,2,Eixample,6,la Sagrada Família,Fins a 75 cc,219
2014,2,Eixample,7,la Dreta de l'Eixample,Fins a 75 cc,435
2014,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Fins a 75 cc,353
2014,2,Eixample,9,la Nova Esquerra de l'Eixample,Fins a 75 cc,406
2014,2,Eixample,10,Sant Antoni,Fins a 75 cc,203
2014,3,Sants-Montjuïc,11,el Poble Sec,Fins a 75 cc,147
2014,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Fins a 75 cc,8
2014,3,Sants-Montjuïc,13,la Marina de Port,Fins a 75 cc,91
2014,3,Sants-Montjuïc,14,la Font de la Guatlla,Fins a 75 cc,40
2014,3,Sants-Montjuïc,15,Hostafrancs,Fins a 75 cc,59
2014,3,Sants-Montjuïc,16,la Bordeta,Fins a 75 cc,84
2014,3,Sants-Montjuïc,17,Sants - Badal,Fins a 75 cc,105
2014,3,Sants-Montjuïc,18,Sants,Fins a 75 cc,200
2014,4,Les Corts,19,les Corts,Fins a 75 cc,434
2014,4,Les Corts,20,la Maternitat i Sant Ramon,Fins a 75 cc,212
2014,4,Les Corts,21,Pedralbes,Fins a 75 cc,244
2014,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Fins a 75 cc,37
2014,5,Sarrià-Sant Gervasi,23,Sarrià,Fins a 75 cc,393
2014,5,Sarrià-Sant Gervasi,24,les Tres Torres,Fins a 75 cc,366
2014,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Fins a 75 cc,507
2014,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Fins a 75 cc,996
2014,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Fins a 75 cc,407
2014,6,Gràcia,28,Vallcarca i els Penitents,Fins a 75 cc,155
2014,6,Gràcia,29,el Coll,Fins a 75 cc,45
2014,6,Gràcia,30,la Salut,Fins a 75 cc,115
2014,6,Gràcia,31,la Vila de Gràcia,Fins a 75 cc,359
2014,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Fins a 75 cc,205
2014,7,Horta-Guinardó,33,el Baix Guinardó,Fins a 75 cc,122
2014,7,Horta-Guinardó,34,Can Baró,Fins a 75 cc,55
2014,7,Horta-Guinardó,35,el Guinardó,Fins a 75 cc,176
2014,7,Horta-Guinardó,36,la Font d'en Fargues,Fins a 75 cc,75
2014,7,Horta-Guinardó,37,el Carmel,Fins a 75 cc,114
2014,7,Horta-Guinardó,38,la Teixonera,Fins a 75 cc,52
2014,7,Horta-Guinardó,39,Sant Genís dels Agudells,Fins a 75 cc,35
2014,7,Horta-Guinardó,40,Montbau,Fins a 75 cc,14
2014,7,Horta-Guinardó,41,la Vall d'Hebron,Fins a 75 cc,19
2014,7,Horta-Guinardó,42,la Clota,Fins a 75 cc,4
2014,7,Horta-Guinardó,43,Horta,Fins a 75 cc,118
2014,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Fins a 75 cc,79
2014,8,Nou Barris,45,Porta,Fins a 75 cc,70
2014,8,Nou Barris,46,el Turó de la Peira,Fins a 75 cc,42
2014,8,Nou Barris,47,Can Peguera,Fins a 75 cc,6
2014,8,Nou Barris,48,la Guineueta,Fins a 75 cc,41
2014,8,Nou Barris,49,Canyelles,Fins a 75 cc,20
2014,8,Nou Barris,50,les Roquetes,Fins a 75 cc,37
2014,8,Nou Barris,51,Verdun,Fins a 75 cc,36
2014,8,Nou Barris,52,la Prosperitat,Fins a 75 cc,78
2014,8,Nou Barris,53,la Trinitat Nova,Fins a 75 cc,17
2014,8,Nou Barris,54,Torre Baró,Fins a 75 cc,18
2014,8,Nou Barris,55,Ciutat Meridiana,Fins a 75 cc,11
2014,8,Nou Barris,56,Vallbona,Fins a 75 cc,3
2014,9,Sant Andreu,57,la Trinitat Vella,Fins a 75 cc,18
2014,9,Sant Andreu,58,Baró de Viver,Fins a 75 cc,6
2014,9,Sant Andreu,59,el Bon Pastor,Fins a 75 cc,24
2014,9,Sant Andreu,60,Sant Andreu,Fins a 75 cc,172
2014,9,Sant Andreu,61,la Sagrera,Fins a 75 cc,104
2014,9,Sant Andreu,62,el Congrés i els Indians,Fins a 75 cc,53
2014,9,Sant Andreu,63,Navas,Fins a 75 cc,82
2014,10,Sant Martí,64,el Camp de l'Arpa del Clot,Fins a 75 cc,175
2014,10,Sant Martí,65,el Clot,Fins a 75 cc,78
