Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Cilindrada_motos,Nombre_motos
2016,1,Ciutat Vella,1,el Raval,Fins a 75 cc,98
2016,1,Ciutat Vella,2,el Barri Gòtic,Fins a 75 cc,99
2016,1,Ciutat Vella,3,la Barceloneta,Fins a 75 cc,220
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Fins a 75 cc,149
2016,2,Eixample,5,el Fort Pienc,Fins a 75 cc,173
2016,2,Eixample,6,la Sagrada Família,Fins a 75 cc,212
2016,2,Eixample,7,la Dreta de l'Eixample,Fins a 75 cc,440
2016,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Fins a 75 cc,343
2016,2,Eixample,9,la Nova Esquerra de l'Eixample,Fins a 75 cc,380
2016,2,Eixample,10,Sant Antoni,Fins a 75 cc,195
2016,3,Sants-Montjuïc,11,el Poble Sec,Fins a 75 cc,143
2016,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Fins a 75 cc,9
2016,3,Sants-Montjuïc,13,la Marina de Port,Fins a 75 cc,86
2016,3,Sants-Montjuïc,14,la Font de la Guatlla,Fins a 75 cc,38
2016,3,Sants-Montjuïc,15,Hostafrancs,Fins a 75 cc,55
2016,3,Sants-Montjuïc,16,la Bordeta,Fins a 75 cc,77
2016,3,Sants-Montjuïc,17,Sants - Badal,Fins a 75 cc,92
2016,3,Sants-Montjuïc,18,Sants,Fins a 75 cc,190
2016,4,Les Corts,19,les Corts,Fins a 75 cc,418
2016,4,Les Corts,20,la Maternitat i Sant Ramon,Fins a 75 cc,198
2016,4,Les Corts,21,Pedralbes,Fins a 75 cc,242
2016,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Fins a 75 cc,40
2016,5,Sarrià-Sant Gervasi,23,Sarrià,Fins a 75 cc,395
2016,5,Sarrià-Sant Gervasi,24,les Tres Torres,Fins a 75 cc,354
2016,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Fins a 75 cc,477
2016,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Fins a 75 cc,930
2016,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Fins a 75 cc,382
2016,6,Gràcia,28,Vallcarca i els Penitents,Fins a 75 cc,151
2016,6,Gràcia,29,el Coll,Fins a 75 cc,48
2016,6,Gràcia,30,la Salut,Fins a 75 cc,108
2016,6,Gràcia,31,la Vila de Gràcia,Fins a 75 cc,349
2016,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Fins a 75 cc,197
2016,7,Horta-Guinardó,33,el Baix Guinardó,Fins a 75 cc,118
2016,7,Horta-Guinardó,34,Can Baró,Fins a 75 cc,52
2016,7,Horta-Guinardó,35,el Guinardó,Fins a 75 cc,163
2016,7,Horta-Guinardó,36,la Font d'en Fargues,Fins a 75 cc,65
2016,7,Horta-Guinardó,37,el Carmel,Fins a 75 cc,118
2016,7,Horta-Guinardó,38,la Teixonera,Fins a 75 cc,52
2016,7,Horta-Guinardó,39,Sant Genís dels Agudells,Fins a 75 cc,34
2016,7,Horta-Guinardó,40,Montbau,Fins a 75 cc,12
2016,7,Horta-Guinardó,41,la Vall d'Hebron,Fins a 75 cc,20
2016,7,Horta-Guinardó,42,la Clota,Fins a 75 cc,4
2016,7,Horta-Guinardó,43,Horta,Fins a 75 cc,115
2016,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Fins a 75 cc,72
2016,8,Nou Barris,45,Porta,Fins a 75 cc,68
2016,8,Nou Barris,46,el Turó de la Peira,Fins a 75 cc,43
2016,8,Nou Barris,47,Can Peguera,Fins a 75 cc,4
2016,8,Nou Barris,48,la Guineueta,Fins a 75 cc,36
2016,8,Nou Barris,49,Canyelles,Fins a 75 cc,19
2016,8,Nou Barris,50,les Roquetes,Fins a 75 cc,40
2016,8,Nou Barris,51,Verdun,Fins a 75 cc,32
2016,8,Nou Barris,52,la Prosperitat,Fins a 75 cc,73
2016,8,Nou Barris,53,la Trinitat Nova,Fins a 75 cc,16
2016,8,Nou Barris,54,Torre Baró,Fins a 75 cc,20
2016,8,Nou Barris,55,Ciutat Meridiana,Fins a 75 cc,10
2016,8,Nou Barris,56,Vallbona,Fins a 75 cc,3
2016,9,Sant Andreu,57,la Trinitat Vella,Fins a 75 cc,17
2016,9,Sant Andreu,58,Baró de Viver,Fins a 75 cc,5
2016,9,Sant Andreu,59,el Bon Pastor,Fins a 75 cc,24
2016,9,Sant Andreu,60,Sant Andreu,Fins a 75 cc,168
2016,9,Sant Andreu,61,la Sagrera,Fins a 75 cc,101
2016,9,Sant Andreu,62,el Congrés i els Indians,Fins a 75 cc,50
2016,9,Sant Andreu,63,Navas,Fins a 75 cc,78
2016,10,Sant Martí,64,el Camp de l'Arpa del Clot,Fins a 75 cc,170
2016,10,Sant Martí,65,el Clot,Fins a 75 cc,69
2016,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Fins a 75 cc,69
2016,10,Sant Martí,67,la Vila Olímpica del Poblenou,Fins a 75 cc,35
2016,10,Sant Martí,68,el Poblenou,Fins a 75 cc,93
2016,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Fins a 75 cc,29
2016,10,Sant Martí,70,el Besòs i el Maresme,Fins a 75 cc,33
2016,10,Sant Martí,71,Provençals del Poblenou,Fins a 75 cc,55
2016,10,Sant Martí,72,Sant Martí de Provençals,Fins a 75 cc,77
2016,10,Sant Martí,73,la Verneda i la Pau,Fins a 75 cc,91
2016,99,No consta,99,No consta,Fins a 75 cc,64
2016,1,Ciutat Vella,1,el Raval,75 a 125 cc,1622
2016,1,Ciutat Vella,2,el Barri Gòtic,75 a 125 cc,2522
2016,1,Ciutat Vella,3,la Barceloneta,75 a 125 cc,1115
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",75 a 125 cc,1308
2016,2,Eixample,5,el Fort Pienc,75 a 125 cc,2221
2016,2,Eixample,6,la Sagrada Família,75 a 125 cc,3600
2016,2,Eixample,7,la Dreta de l'Eixample,75 a 125 cc,4501
2016,2,Eixample,8,l'Antiga Esquerra de l'Eixample,75 a 125 cc,3861
2016,2,Eixample,9,la Nova Esquerra de l'Eixample,75 a 125 cc,4565
2016,2,Eixample,10,Sant Antoni,75 a 125 cc,2595
2016,3,Sants-Montjuïc,11,el Poble Sec,75 a 125 cc,2069
2016,3,Sants-Montjuïc,12,la Marina del Prat Vermell,75 a 125 cc,204
2016,3,Sants-Montjuïc,13,la Marina de Port,75 a 125 cc,1808
2016,3,Sants-Montjuïc,14,la Font de la Guatlla,75 a 125 cc,693
2016,3,Sants-Montjuïc,15,Hostafrancs,75 a 125 cc,932
2016,3,Sants-Montjuïc,16,la Bordeta,75 a 125 cc,1146
2016,3,Sants-Montjuïc,17,Sants - Badal,75 a 125 cc,1381
2016,3,Sants-Montjuïc,18,Sants,75 a 125 cc,2628
2016,4,Les Corts,19,les Corts,75 a 125 cc,3970
2016,4,Les Corts,20,la Maternitat i Sant Ramon,75 a 125 cc,2036
2016,4,Les Corts,21,Pedralbes,75 a 125 cc,1557
2016,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",75 a 125 cc,366
2016,5,Sarrià-Sant Gervasi,23,Sarrià,75 a 125 cc,3023
2016,5,Sarrià-Sant Gervasi,24,les Tres Torres,75 a 125 cc,2345
2016,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,75 a 125 cc,3427
2016,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,75 a 125 cc,6877
2016,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,75 a 125 cc,3453
2016,6,Gràcia,28,Vallcarca i els Penitents,75 a 125 cc,1479
2016,6,Gràcia,29,el Coll,75 a 125 cc,717
2016,6,Gràcia,30,la Salut,75 a 125 cc,1321
2016,6,Gràcia,31,la Vila de Gràcia,75 a 125 cc,4147
2016,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,75 a 125 cc,2892
2016,7,Horta-Guinardó,33,el Baix Guinardó,75 a 125 cc,1995
2016,7,Horta-Guinardó,34,Can Baró,75 a 125 cc,856
2016,7,Horta-Guinardó,35,el Guinardó,75 a 125 cc,2488
2016,7,Horta-Guinardó,36,la Font d'en Fargues,75 a 125 cc,1024
2016,7,Horta-Guinardó,37,el Carmel,75 a 125 cc,2271
2016,7,Horta-Guinardó,38,la Teixonera,75 a 125 cc,811
2016,7,Horta-Guinardó,39,Sant Genís dels Agudells,75 a 125 cc,427
2016,7,Horta-Guinardó,40,Montbau,75 a 125 cc,250
2016,7,Horta-Guinardó,41,la Vall d'Hebron,75 a 125 cc,340
2016,7,Horta-Guinardó,42,la Clota,75 a 125 cc,36
2016,7,Horta-Guinardó,43,Horta,75 a 125 cc,1776
2016,8,Nou Barris,44,Vilapicina i la Torre Llobeta,75 a 125 cc,1405
2016,8,Nou Barris,45,Porta,75 a 125 cc,1139
2016,8,Nou Barris,46,el Turó de la Peira,75 a 125 cc,643
2016,8,Nou Barris,47,Can Peguera,75 a 125 cc,113
2016,8,Nou Barris,48,la Guineueta,75 a 125 cc,701
2016,8,Nou Barris,49,Canyelles,75 a 125 cc,354
2016,8,Nou Barris,50,les Roquetes,75 a 125 cc,666
2016,8,Nou Barris,51,Verdun,75 a 125 cc,521
2016,8,Nou Barris,52,la Prosperitat,75 a 125 cc,1276
2016,8,Nou Barris,53,la Trinitat Nova,75 a 125 cc,269
2016,8,Nou Barris,54,Torre Baró,75 a 125 cc,119
2016,8,Nou Barris,55,Ciutat Meridiana,75 a 125 cc,278
2016,8,Nou Barris,56,Vallbona,75 a 125 cc,53
2016,9,Sant Andreu,57,la Trinitat Vella,75 a 125 cc,362
2016,9,Sant Andreu,58,Baró de Viver,75 a 125 cc,114
2016,9,Sant Andreu,59,el Bon Pastor,75 a 125 cc,579
2016,9,Sant Andreu,60,Sant Andreu,75 a 125 cc,3241
2016,9,Sant Andreu,61,la Sagrera,75 a 125 cc,1550
2016,9,Sant Andreu,62,el Congrés i els Indians,75 a 125 cc,753
2016,9,Sant Andreu,63,Navas,75 a 125 cc,1242
2016,10,Sant Martí,64,el Camp de l'Arpa del Clot,75 a 125 cc,2376
2016,10,Sant Martí,65,el Clot,75 a 125 cc,1599
2016,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,75 a 125 cc,997
2016,10,Sant Martí,67,la Vila Olímpica del Poblenou,75 a 125 cc,758
2016,10,Sant Martí,68,el Poblenou,75 a 125 cc,1999
2016,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,75 a 125 cc,815
2016,10,Sant Martí,70,el Besòs i el Maresme,75 a 125 cc,734
2016,10,Sant Martí,71,Provençals del Poblenou,75 a 125 cc,1186
2016,10,Sant Martí,72,Sant Martí de Provençals,75 a 125 cc,1346
2016,10,Sant Martí,73,la Verneda i la Pau,75 a 125 cc,1281
2016,99,No consta,99,No consta,75 a 125 cc,104
2016,1,Ciutat Vella,1,el Raval,126 a 200,220
2016,1,Ciutat Vella,2,el Barri Gòtic,126 a 200,242
2016,1,Ciutat Vella,3,la Barceloneta,126 a 200,122
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",126 a 200,182
2016,2,Eixample,5,el Fort Pienc,126 a 200,310
2016,2,Eixample,6,la Sagrada Família,126 a 200,510
2016,2,Eixample,7,la Dreta de l'Eixample,126 a 200,783
2016,2,Eixample,8,l'Antiga Esquerra de l'Eixample,126 a 200,664
2016,2,Eixample,9,la Nova Esquerra de l'Eixample,126 a 200,706
2016,2,Eixample,10,Sant Antoni,126 a 200,400
2016,3,Sants-Montjuïc,11,el Poble Sec,126 a 200,349
2016,3,Sants-Montjuïc,12,la Marina del Prat Vermell,126 a 200,27
2016,3,Sants-Montjuïc,13,la Marina de Port,126 a 200,200
2016,3,Sants-Montjuïc,14,la Font de la Guatlla,126 a 200,92
2016,3,Sants-Montjuïc,15,Hostafrancs,126 a 200,125
2016,3,Sants-Montjuïc,16,la Bordeta,126 a 200,136
2016,3,Sants-Montjuïc,17,Sants - Badal,126 a 200,188
2016,3,Sants-Montjuïc,18,Sants,126 a 200,351
2016,4,Les Corts,19,les Corts,126 a 200,668
2016,4,Les Corts,20,la Maternitat i Sant Ramon,126 a 200,305
2016,4,Les Corts,21,Pedralbes,126 a 200,331
2016,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",126 a 200,92
2016,5,Sarrià-Sant Gervasi,23,Sarrià,126 a 200,628
2016,5,Sarrià-Sant Gervasi,24,les Tres Torres,126 a 200,482
2016,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,126 a 200,677
2016,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,126 a 200,1339
2016,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,126 a 200,621
2016,6,Gràcia,28,Vallcarca i els Penitents,126 a 200,270
2016,6,Gràcia,29,el Coll,126 a 200,98
2016,6,Gràcia,30,la Salut,126 a 200,203
2016,6,Gràcia,31,la Vila de Gràcia,126 a 200,636
2016,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,126 a 200,441
2016,7,Horta-Guinardó,33,el Baix Guinardó,126 a 200,284
2016,7,Horta-Guinardó,34,Can Baró,126 a 200,125
2016,7,Horta-Guinardó,35,el Guinardó,126 a 200,410
