Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Cilindrada_motos,Nombre_motos
2017,1,Ciutat Vella,1,el Raval,Fins a 75 cc,93
2017,1,Ciutat Vella,2,el Barri Gòtic,Fins a 75 cc,133
2017,1,Ciutat Vella,3,la Barceloneta,Fins a 75 cc,200
2017,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Fins a 75 cc,224
2017,2,Eixample,5,el Fort Pienc,Fins a 75 cc,177
2017,2,Eixample,6,la Sagrada Família,Fins a 75 cc,247
2017,2,Eixample,7,la Dreta de l'Eixample,Fins a 75 cc,444
2017,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Fins a 75 cc,334
2017,2,Eixample,9,la Nova Esquerra de l'Eixample,Fins a 75 cc,371
2017,2,Eixample,10,Sant Antoni,Fins a 75 cc,201
2017,3,Sants-Montjuïc,11,el Poble Sec,Fins a 75 cc,136
2017,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Fins a 75 cc,11
2017,3,Sants-Montjuïc,13,la Marina de Port,Fins a 75 cc,85
2017,3,Sants-Montjuïc,14,la Font de la Guatlla,Fins a 75 cc,38
2017,3,Sants-Montjuïc,15,Hostafrancs,Fins a 75 cc,53
2017,3,Sants-Montjuïc,16,la Bordeta,Fins a 75 cc,81
2017,3,Sants-Montjuïc,17,Sants - Badal,Fins a 75 cc,87
2017,3,Sants-Montjuïc,18,Sants,Fins a 75 cc,192
2017,4,Les Corts,19,les Corts,Fins a 75 cc,404
2017,4,Les Corts,20,la Maternitat i Sant Ramon,Fins a 75 cc,197
2017,4,Les Corts,21,Pedralbes,Fins a 75 cc,248
2017,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Fins a 75 cc,45
2017,5,Sarrià-Sant Gervasi,23,Sarrià,Fins a 75 cc,393
2017,5,Sarrià-Sant Gervasi,24,les Tres Torres,Fins a 75 cc,350
2017,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Fins a 75 cc,475
2017,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Fins a 75 cc,914
2017,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Fins a 75 cc,380
2017,6,Gràcia,28,Vallcarca i els Penitents,Fins a 75 cc,143
2017,6,Gràcia,29,el Coll,Fins a 75 cc,47
2017,6,Gràcia,30,la Salut,Fins a 75 cc,102
2017,6,Gràcia,31,la Vila de Gràcia,Fins a 75 cc,342
2017,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Fins a 75 cc,189
2017,7,Horta-Guinardó,33,el Baix Guinardó,Fins a 75 cc,118
2017,7,Horta-Guinardó,34,Can Baró,Fins a 75 cc,52
2017,7,Horta-Guinardó,35,el Guinardó,Fins a 75 cc,162
2017,7,Horta-Guinardó,36,la Font d'en Fargues,Fins a 75 cc,62
2017,7,Horta-Guinardó,37,el Carmel,Fins a 75 cc,123
2017,7,Horta-Guinardó,38,la Teixonera,Fins a 75 cc,54
2017,7,Horta-Guinardó,39,Sant Genís dels Agudells,Fins a 75 cc,37
2017,7,Horta-Guinardó,40,Montbau,Fins a 75 cc,12
2017,7,Horta-Guinardó,41,la Vall d'Hebron,Fins a 75 cc,19
2017,7,Horta-Guinardó,42,la Clota,Fins a 75 cc,4
2017,7,Horta-Guinardó,43,Horta,Fins a 75 cc,108
2017,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Fins a 75 cc,72
2017,8,Nou Barris,45,Porta,Fins a 75 cc,70
2017,8,Nou Barris,46,el Turó de la Peira,Fins a 75 cc,40
2017,8,Nou Barris,47,Can Peguera,Fins a 75 cc,4
