Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Tipologia_parc,Nombre_vehicles
2015,2,Eixample,9,la Nova Esquerra de l'Eixample,Motos,8374
2015,2,Eixample,10,Sant Antoni,Motos,4597
2015,3,Sants-Montjuïc,11,el Poble Sec,Motos,3832
2015,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Motos,363
2015,3,Sants-Montjuïc,13,la Marina de Port,Motos,3149
2015,3,Sants-Montjuïc,14,la Font de la Guatlla,Motos,1346
2015,3,Sants-Montjuïc,15,Hostafrancs,Motos,1667
2015,3,Sants-Montjuïc,16,la Bordeta,Motos,2102
2015,3,Sants-Montjuïc,17,Sants - Badal,Motos,2555
2015,3,Sants-Montjuïc,18,Sants,Motos,4844
2015,4,Les Corts,19,les Corts,Motos,7621
2015,4,Les Corts,20,la Maternitat i Sant Ramon,Motos,3900
2015,4,Les Corts,21,Pedralbes,Motos,3101
2015,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Motos,875
2015,5,Sarrià-Sant Gervasi,23,Sarrià,Motos,5844
2015,5,Sarrià-Sant Gervasi,24,les Tres Torres,Motos,4529
2015,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Motos,6488
2015,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Motos,13288
2015,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Motos,6456
2015,6,Gràcia,28,Vallcarca i els Penitents,Motos,2774
2015,6,Gràcia,29,el Coll,Motos,1236
2015,6,Gràcia,30,la Salut,Motos,2280
2015,6,Gràcia,31,la Vila de Gràcia,Motos,7248
2015,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Motos,5219
2015,7,Horta-Guinardó,33,el Baix Guinardó,Motos,3509
2015,7,Horta-Guinardó,34,Can Baró,Motos,1467
2015,7,Horta-Guinardó,35,el Guinardó,Motos,4592
2015,7,Horta-Guinardó,36,la Font d'en Fargues,Motos,1832
2015,7,Horta-Guinardó,37,el Carmel,Motos,3949
2015,7,Horta-Guinardó,38,la Teixonera,Motos,1488
2015,7,Horta-Guinardó,39,Sant Genís dels Agudells,Motos,802
2015,7,Horta-Guinardó,40,Montbau,Motos,498
2015,7,Horta-Guinardó,41,la Vall d'Hebron,Motos,600
2015,7,Horta-Guinardó,42,la Clota,Motos,70
2015,7,Horta-Guinardó,43,Horta,Motos,3378
2015,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Motos,2525
2015,8,Nou Barris,45,Porta,Motos,2057
2015,8,Nou Barris,46,el Turó de la Peira,Motos,1122
2015,8,Nou Barris,47,Can Peguera,Motos,196
2015,8,Nou Barris,48,la Guineueta,Motos,1353
2015,8,Nou Barris,49,Canyelles,Motos,641
2015,8,Nou Barris,50,les Roquetes,Motos,1149
2015,8,Nou Barris,51,Verdun,Motos,889
2015,8,Nou Barris,52,la Prosperitat,Motos,2226
2015,8,Nou Barris,53,la Trinitat Nova,Motos,428
2015,8,Nou Barris,54,Torre Baró,Motos,208
2015,8,Nou Barris,55,Ciutat Meridiana,Motos,460
2015,8,Nou Barris,56,Vallbona,Motos,102
2015,9,Sant Andreu,57,la Trinitat Vella,Motos,622
2015,9,Sant Andreu,58,Baró de Viver,Motos,178
2015,9,Sant Andreu,59,el Bon Pastor,Motos,1016
2015,9,Sant Andreu,60,Sant Andreu,Motos,5894
2015,9,Sant Andreu,61,la Sagrera,Motos,2803
2015,9,Sant Andreu,62,el Congrés i els Indians,Motos,1388
2015,9,Sant Andreu,63,Navas,Motos,2390
2015,10,Sant Martí,64,el Camp de l'Arpa del Clot,Motos,4300
2015,10,Sant Martí,65,el Clot,Motos,2862
2015,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Motos,1832
2015,10,Sant Martí,67,la Vila Olímpica del Poblenou,Motos,1361
2015,10,Sant Martí,68,el Poblenou,Motos,3543
2015,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Motos,1465
2015,10,Sant Martí,70,el Besòs i el Maresme,Motos,1279
2015,10,Sant Martí,71,Provençals del Poblenou,Motos,2024
2015,10,Sant Martí,72,Sant Martí de Provençals,Motos,2513
2015,10,Sant Martí,73,la Verneda i la Pau,Motos,2329
2015,99,No consta,99,No consta,Motos,332
2015,1,Ciutat Vella,1,el Raval,Ciclomotors,1637
2015,1,Ciutat Vella,2,el Barri Gòtic,Ciclomotors,615
2015,1,Ciutat Vella,3,la Barceloneta,Ciclomotors,627
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Ciclomotors,958
2015,2,Eixample,5,el Fort Pienc,Ciclomotors,1132
2015,2,Eixample,6,la Sagrada Família,Ciclomotors,1881
2015,2,Eixample,7,la Dreta de l'Eixample,Ciclomotors,1716
2015,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Ciclomotors,1619
2015,2,Eixample,9,la Nova Esquerra de l'Eixample,Ciclomotors,2269
2015,2,Eixample,10,Sant Antoni,Ciclomotors,1343
2015,3,Sants-Montjuïc,11,el Poble Sec,Ciclomotors,1529
2015,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Ciclomotors,99
2015,3,Sants-Montjuïc,13,la Marina de Port,Ciclomotors,1064
2015,3,Sants-Montjuïc,14,la Font de la Guatlla,Ciclomotors,440
2015,3,Sants-Montjuïc,15,Hostafrancs,Ciclomotors,579
2015,3,Sants-Montjuïc,16,la Bordeta,Ciclomotors,668
2015,3,Sants-Montjuïc,17,Sants - Badal,Ciclomotors,891
2015,3,Sants-Montjuïc,18,Sants,Ciclomotors,1488
2015,4,Les Corts,19,les Corts,Ciclomotors,1742
2015,4,Les Corts,20,la Maternitat i Sant Ramon,Ciclomotors,909
2015,4,Les Corts,21,Pedralbes,Ciclomotors,495
2015,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Ciclomotors,168
2015,5,Sarrià-Sant Gervasi,23,Sarrià,Ciclomotors,891
2015,5,Sarrià-Sant Gervasi,24,les Tres Torres,Ciclomotors,665
2015,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Ciclomotors,1122
